"","x"
"1","AGTRAP"
"2","CDA"
"3","COL9A2"
"4","HENMT1"
"5","SEMA4A"
"6","CD1D"
"7","MAP10"
"8","PDLIM1"
"9","UTF1"
"10","C1QTNF4"
"11","MS4A3"
"12","MPZL2"
"13","SLC37A2"
"14","ZNF385A"
"15","GTSF1"
"16","SERP2"
"17","CEBPE"
"18","GALC"
"19","LTK"
"20","PTX4"
"21","MEFV"
"22","IL27"
"23","CD300LB"
"24","CD300LD"
"25","LGALS3BP"
"26","ANGPTL6"
"27","MAG"
"28","CLC"
"29","SULT2B1"
"30","CLEC11A"
"31","QPCT"
"32","DAPL1"
"33","CXCR2"
"34","CD93"
"35","C20orf197"
"36","S100B"
"37","CX3CR1"
"38","SPATA12"
"39","CD96"
"40","GP9"
"41","HLA-DMB"
"42","SUSD3"
"43","FBP1"
"44","PHYHD1"
"45","IL2RG"
"46","ZNF185"
"47","DHRS3"
"48","CACNA2D4"
"49","SLC9A3R2"
"50","CMTM2"
"51","SLFN13"
"52","SIGLEC9"
"53","VSTM1"
"54","PTH2R"
"55","LINC00649"
"56","S100P"
"57","TBC1D9"
"58","LY86-AS1"
"59","LY86"
"60","TNF"
"61","HLA-DPA1"
"62","ADGB"
"63","MACC1"
"64","AK8"
