"","gene_names","ID","CpG_logFC","Gene_logFC","AveExpr","P.Value"
"1","ABI3","17_47286829",0.514217480014376,-1.72866935861788,3.02753132292232,0.0186124054522971
"2","ABI3","17_47286829",0.525523242279349,-1.72866935861788,3.02753132292232,0.0186124054522971
"3","ABI3","17_47286829",0.413542784000914,-1.72866935861788,3.02753132292232,0.0186124054522971
"4","ACOX2","3_58521219",NA,-1.87320783315978,-0.264539150024265,0.0214854492900875
"5","ACY3","11_67417569",0.480876187517741,-3.85376026917501,2.94841529281548,0.00490623578479265
"6","ADAMTS15","11_130316168",NA,-2.47177951175578,-2.31055655732452,0.0458310021029371
"7","ADGB","6_146917969",0.300262218410984,-2.65458565510202,-2.11563808797769,2.92813156346216e-06
"8","ADGB","6_146917969",0.3869286546393,-2.65458565510202,-2.11563808797769,2.92813156346216e-06
"9","ADGB","6_146917969",0.339359060204524,-2.65458565510202,-2.11563808797769,2.92813156346216e-06
"10","ADGB","6_146917969",0.306881513360748,-2.65458565510202,-2.11563808797769,2.92813156346216e-06
"11","AEBP1","7_44139252",0.354269487333571,1.54394982590845,4.35510172831022,0.00941670255834439
"12","AGTRAP","1_11793489",0.39200019733905,-1.67216688372597,5.62276125468166,0.000298356584448053
"13","AGTRAP","1_11793489",0.402207216298289,-1.67216688372597,5.62276125468166,0.000298356584448053
"14","AGTRAP","1_11793489",0.489610525482996,-1.67216688372597,5.62276125468166,0.000298356584448053
"15","AGTRAP","1_11793489",0.337152541970326,-1.67216688372597,5.62276125468166,0.000298356584448053
"16","AGTRAP","1_11793489",0.441663236882864,-1.67216688372597,5.62276125468166,0.000298356584448053
"17","AGTRAP","1_11793489",0.481272954950282,-1.67216688372597,5.62276125468166,0.000298356584448053
"18","AGTRAP","1_11793489",0.494235127676882,-1.67216688372597,5.62276125468166,0.000298356584448053
"19","AGTRAP","1_11793489",0.365154942393909,-1.67216688372597,5.62276125468166,0.000298356584448053
"20","AK4","1_65610395",0.358645974944534,2.39135984870944,2.97466456807725,0.000431936891131347
"21","AK8","9_135752465",0.58248834139445,-1.68149363917537,-1.31776810618786,0.0200064190031792
"22","AKT3","1_244009552",NA,1.6148767989379,4.67793356450039,0.00258527044343223
"23","ALPK3","15_85352129",NA,-1.88829497814705,1.96049280745067,0.0358995307354606
"24","ALPK3","15_85394012",NA,-1.88829497814705,1.96049280745067,0.0358995307354606
"25","ANGPTL6","19_10203904",0.365960080191016,-1.83256659936692,2.33262046253159,0.000492132366017503
"26","ARHGAP31","3_119011485",NA,-1.68575404543098,3.80094646645331,0.00974218764547524
"27","ARTN","1_44395544",NA,-2.14446568196048,2.58222212544117,0.0383406708712669
"28","ASIC3","7_150744633",0.356430932644565,2.15897363219021,1.60203818308211,6.82987135955864e-09
"29","ASIC3","7_150744633",0.423251457406043,2.15897363219021,1.60203818308211,6.82987135955864e-09
"30","AVPR1B","1_206222001",NA,1.97491699741431,-0.235974511094009,0.00207010349093988
"31","BCAT1","12_25101330",0.307264193360911,1.57534982846843,6.07564873734417,0.0282549191585725
"32","C1orf127","1_11039443",NA,-2.10809130924283,0.43492373632949,0.0125425075854982
"33","C1orf21","1_184354472",0.35641858380393,1.88096830443474,4.07318929469641,0.00201888304241624
"34","C1QTNF4","11_47613261",0.347640126409261,-2.11277111125451,4.51242698265838,0.0243671463549258
"35","C20orf197","20_58618553",0.317543047312753,-2.35406827307529,3.56832160068414,0.000568473256891879
"36","C20orf197","20_58618553",0.35548144360583,-2.35406827307529,3.56832160068414,0.000568473256891879
"37","C20orf197","20_58618553",0.42168532374375,-2.35406827307529,3.56832160068414,0.000568473256891879
"38","C5AR2","19_47811092",0.319888125220183,-2.10315290944762,2.33969425267279,0.00497951085831455
"39","C5AR2","19_47811092",0.681173226815369,-2.10315290944762,2.33969425267279,0.00497951085831455
"40","C5AR2","19_47811092",0.533315632655844,-2.10315290944762,2.33969425267279,0.00497951085831455
"41","C8orf88","8_91996743",NA,1.97506511093781,-0.995586676407627,0.0159004792120401
"42","CACNA2D4","12_2024526",0.404031287203583,-2.03697937305647,4.88494441136497,0.0080312260427272
"43","CCDC149","4_24975857",NA,-1.79288185780987,3.1878990689422,0.0192825357933314
"44","CCDC3","10_13133797",NA,3.12930856844379,-0.328286735359345,0.000116780250846919
