from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	316	1_850619	1_831895
1	2361	1_850619	1_1150970
2	1	1_1160798	1_850619
2	2362	1_1160798	1_903641
2	2363	1_1160798	1_927395
2	2364	1_1160798	1_1048248
2	2365	1_1160798	1_1062660
2	2366	1_1160798	1_1064245
2	2367	1_1160798	1_1239426
2	2368	1_1160798	1_1309969
3	2369	1_6220817	1_5569424
3	2370	1_6220817	1_5570373
3	2371	1_6220817	1_6102225
3	2372	1_6220817	1_6103546
3	2373	1_6220817	1_6116902
3	2374	1_6220817	1_6117682
3	2375	1_6220817	1_6127718
3	2376	1_6220817	1_6130641
3	2377	1_6220817	1_6174714
3	2378	1_6220817	1_6190090
3	2379	1_6220817	1_6208773
3	2380	1_6220817	1_6257809
3	2381	1_6220817	1_6258013
4	2382	1_24102972	1_24115183
4	2383	1_24102972	1_24218830
4	2384	1_24102972	1_24227623
4	2385	1_24102972	1_24236767
4	2386	1_24102972	1_24257933
4	2387	1_24102972	1_24278213
4	2388	1_24102972	1_24283735
4	2389	1_24102972	1_24290291
4	2390	1_24102972	1_24291064
4	2391	1_24102972	1_24292785
4	2392	1_24102972	1_24315444
5	2393	1_32661814	1_32104667
5	2394	1_32661814	1_32114566
5	2395	1_32661814	1_32116941
5	2396	1_32661814	1_32544135
5	2397	1_32661814	1_32546465
5	351	1_32661814	1_32573374
5	353	1_32661814	1_32671968
5	2398	1_32661814	1_32745000
5	2399	1_32661814	1_32748994
5	2400	1_32661814	1_32762301
5	2401	1_32661814	1_32764199
5	2402	1_32661814	1_32772462
5	2403	1_32661814	1_32783277
5	2404	1_32661814	1_32783502
5	355	1_32661814	1_32787407
5	2405	1_32661814	1_32788925
5	2406	1_32661814	1_32789341
5	356	1_32661814	1_32794627
5	357	1_32661814	1_32814703
5	358	1_32661814	1_32825454
5	2407	1_32661814	1_32836566
5	2408	1_32661814	1_32840954
5	2409	1_32661814	1_32844539
5	2410	1_32661814	1_32850614
5	2411	1_32661814	1_32858718
5	359	1_32661814	1_32860268
5	2412	1_32661814	1_32865490
5	2413	1_32661814	1_32871429
5	2414	1_32661814	1_32872517
5	2415	1_32661814	1_32880811
5	2416	1_32661814	1_32881581
5	2417	1_32661814	1_32886651
6	2418	1_32716766	1_32400001
6	351	1_32716766	1_32573374
6	2419	1_32716766	1_32728419
6	2398	1_32716766	1_32745000
6	2399	1_32716766	1_32748994
6	354	1_32716766	1_32753663
6	2400	1_32716766	1_32762301
6	2401	1_32716766	1_32764199
6	2402	1_32716766	1_32772462
6	2403	1_32716766	1_32783277
6	2404	1_32716766	1_32783502
6	355	1_32716766	1_32787407
6	2405	1_32716766	1_32788925
6	2406	1_32716766	1_32789341
6	356	1_32716766	1_32794627
6	357	1_32716766	1_32814703
6	358	1_32716766	1_32825454
6	2407	1_32716766	1_32836566
6	2408	1_32716766	1_32840954
6	2409	1_32716766	1_32844539
6	2410	1_32716766	1_32850614
6	2411	1_32716766	1_32858718
6	359	1_32716766	1_32860268
6	2416	1_32716766	1_32881581
7	2420	1_38269910	1_38061803
7	2421	1_38269910	1_38063370
7	2422	1_38269910	1_38154851
7	365	1_38269910	1_38156332
7	2423	1_38269910	1_38312083
7	2424	1_38269910	1_38315935
7	2425	1_38269910	1_38320992
7	366	1_38269910	1_38324477
7	2426	1_38269910	1_38328051
7	2427	1_38269910	1_38388916
7	2428	1_38269910	1_38413903
7	2429	1_38269910	1_38459958
7	2430	1_38269910	1_38469208
7	2431	1_38269910	1_38479188
7	2432	1_38269910	1_38481611
7	2433	1_38269910	1_38482130
7	2434	1_38269910	1_38483004
7	2435	1_38269910	1_39287630
7	2436	1_38269910	1_39297642
7	2437	1_38269910	1_39306893
7	2438	1_38269910	1_39311623
7	2439	1_38269910	1_39320049
7	2440	1_38269910	1_39322066
7	2441	1_38269910	1_39328056
7	2442	1_38269910	1_39328372
7	2443	1_38269910	1_39330963
7	2444	1_38269910	1_39337493
7	2445	1_38269910	1_39338079
8	2446	1_43634235	1_43881408
9	2447	1_44102900	1_44132326
9	10	1_44102900	1_44395544
10	370	1_44395544	1_43976174
10	2448	1_44395544	1_43992143
10	2449	1_44395544	1_43999958
10	2450	1_44395544	1_44000242
10	2451	1_44395544	1_44003034
10	2452	1_44395544	1_44003222
10	2453	1_44395544	1_44022273
10	2454	1_44395544	1_44129114
10	2447	1_44395544	1_44132326
10	2455	1_44395544	1_44154120
10	371	1_44395544	1_44160990
10	2456	1_44395544	1_44171674
10	372	1_44395544	1_44172750
10	373	1_44395544	1_44176456
10	2457	1_44395544	1_44182793
10	374	1_44395544	1_44190395
10	2458	1_44395544	1_44205544
10	2459	1_44395544	1_44207756
10	2460	1_44395544	1_44209236
10	2461	1_44395544	1_44218031
10	2462	1_44395544	1_44225682
10	2463	1_44395544	1_44230170
10	2464	1_44395544	1_44231006
10	2465	1_44395544	1_44231667
10	2466	1_44395544	1_44232230
10	2467	1_44395544	1_44235472
10	2468	1_44395544	1_44265825
10	2469	1_44395544	1_44279416
10	2470	1_44395544	1_44284246
10	2471	1_44395544	1_44286801
10	2472	1_44395544	1_44301856
10	2473	1_44395544	1_44302954
11	2474	1_65885295	1_62901316
11	384	1_65885295	1_63247446
11	2475	1_65885295	1_63250969
11	2476	1_65885295	1_63826788
11	2477	1_65885295	1_63979975
11	2478	1_65885295	1_63985757
11	2479	1_65885295	1_63989732
11	2480	1_65885295	1_64056350
11	2481	1_65885295	1_64060968
11	2482	1_65885295	1_65212013
11	2483	1_65885295	1_65334986
11	2484	1_65885295	1_65418968
11	2485	1_65885295	1_65434120
11	2486	1_65885295	1_65515373
11	2487	1_65885295	1_65521436
11	2488	1_65885295	1_65524476
11	2489	1_65885295	1_65528278
11	2490	1_65885295	1_65529880
11	2491	1_65885295	1_65530644
11	2492	1_65885295	1_65531461
11	2493	1_65885295	1_65534777
11	2494	1_65885295	1_65610395
11	2495	1_65885295	1_65673047
11	2496	1_65885295	1_65678520
11	2497	1_65885295	1_65680278
11	2498	1_65885295	1_65681680
11	2499	1_65885295	1_65685302
11	2500	1_65885295	1_65691427
11	2501	1_65885295	1_65697277
11	2502	1_65885295	1_65702381
11	2503	1_65885295	1_65704252
11	385	1_65885295	1_65712412
11	2504	1_65885295	1_65721887
11	2505	1_65885295	1_65726526
11	2506	1_65885295	1_65726917
11	2507	1_65885295	1_65727868
11	2508	1_65885295	1_65743596
11	2509	1_65885295	1_65753214
11	2510	1_65885295	1_65760146
11	2511	1_65885295	1_65782798
11	2512	1_65885295	1_66143059
11	2513	1_65885295	1_66150665
11	2514	1_65885295	1_66152310
11	2515	1_65885295	1_66155533
11	2516	1_65885295	1_66797745
11	2517	1_65885295	1_66810594
11	2518	1_65885295	1_66813884
11	2519	1_65885295	1_66912133
11	2520	1_65885295	1_67893480
11	2521	1_65885295	1_68148483
11	388	1_65885295	1_68149975
11	391	1_65885295	1_71546573
12	2522	1_74660238	1_71530008
12	391	1_74660238	1_71546573
12	2523	1_74660238	1_72746687
12	2524	1_74660238	1_75194205
12	2525	1_74660238	1_75205160
12	392	1_74660238	1_76187495
12	2526	1_74660238	1_76257150
13	2527	1_75595842	1_75232198
13	2528	1_75595842	1_75235410
13	2529	1_75595842	1_75240410
13	2530	1_75595842	1_75240699
13	2531	1_75595842	1_75242653
13	2532	1_75595842	1_75246495
13	2533	1_75595842	1_75249124
13	2534	1_75595842	1_75251644
13	2535	1_75595842	1_75252081
13	2536	1_75595842	1_75254822
13	2537	1_75595842	1_75257738
14	2538	1_86038182	1_85755482
14	2539	1_86038182	1_85759713
14	2540	1_86038182	1_85764426
14	2541	1_86038182	1_85767831
14	2542	1_86038182	1_85770890
14	2543	1_86038182	1_85771086
14	2544	1_86038182	1_85776712
14	2545	1_86038182	1_85780922
14	2546	1_86038182	1_85781820
14	2547	1_86038182	1_85782074
14	2548	1_86038182	1_85783283
14	2549	1_86038182	1_85784013
14	2550	1_86038182	1_85786312
14	2551	1_86038182	1_85786771
14	2552	1_86038182	1_85788914
14	2553	1_86038182	1_85790648
14	2554	1_86038182	1_85793503
14	2555	1_86038182	1_85794628
14	2556	1_86038182	1_85795159
14	2557	1_86038182	1_85795392
14	2558	1_86038182	1_85803692
14	2559	1_86038182	1_85805888
14	2560	1_86038182	1_85807116
14	2561	1_86038182	1_85808132
14	2562	1_86038182	1_85811878
14	2563	1_86038182	1_85814351
14	2564	1_86038182	1_85820506
14	2565	1_86038182	1_85820775
14	2566	1_86038182	1_85933866
15	2567	1_117602664	1_113161259
15	2568	1_117602664	1_113246774
15	2569	1_117602664	1_113931665
15	2570	1_117602664	1_114444643
15	2571	1_117602664	1_114470859
15	2572	1_117602664	1_115051914
15	2573	1_117602664	1_115258854
15	2574	1_117602664	1_115298294
15	2575	1_117602664	1_115624407
15	2576	1_117602664	1_116183788
15	2577	1_117602664	1_116513092
