from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	2248	1_1465274	1_1309969
1	2249	1_1465274	1_1648711
2	2249	1_1562478	1_1648711
3	320	1_1709350	1_1820953
4	2250	1_27188039	1_26796595
4	2251	1_27188039	1_26855141
4	336	1_27188039	1_26877973
5	2252	1_27285400	1_26370521
5	2253	1_27285400	1_26386211
5	2254	1_27285400	1_26495199
5	333	1_27285400	1_26677864
5	2250	1_27285400	1_26796595
5	2251	1_27285400	1_26855141
5	2255	1_27285400	1_27222428
5	2256	1_27285400	1_27559582
5	2257	1_27285400	1_27634193
5	2258	1_27285400	1_27643559
5	2259	1_27285400	1_28150276
5	2260	1_27285400	1_28160590
6	2257	1_27680897	1_27634193
6	339	1_27680897	1_27928426
6	340	1_27680897	1_27992231
7	341	1_33201417	1_32860268
8	344	1_36037223	1_36183603
8	345	1_36037223	1_36203489
9	348	1_39542466	1_39323109
9	2261	1_39542466	1_39346976
9	349	1_39542466	1_39720568
12	384	1_68296855	1_68006279
12	385	1_68296855	1_68235398
12	2262	1_68296855	1_68911549
14	2263	1_117109278	1_116513092
14	393	1_117109278	1_116914319
14	396	1_117109278	1_117212042
14	397	1_117109278	1_117446540
14	398	1_117109278	1_117450148
14	399	1_117109278	1_117542531
14	400	1_117109278	1_117600462
14	401	1_117109278	1_117602664
14	2264	1_117109278	1_117637164
14	402	1_117109278	1_117662394
15	404	1_145472456	1_145411681
15	405	1_145472456	1_145427517
15	406	1_145472456	1_145451473
15	407	1_145472456	1_145503235
15	408	1_145472456	1_145513771
15	409	1_145472456	1_145520504
15	410	1_145472456	1_145546608
15	411	1_145472456	1_145569758
15	412	1_145472456	1_145589482
15	2265	1_145472456	1_145606188
15	2266	1_145472456	1_149812977
15	2267	1_145472456	1_161475215
15	2268	1_145472456	1_167690219
16	2269	1_150946808	1_150227107
16	2270	1_150946808	1_150598124
16	2271	1_150946808	1_150769819
16	2272	1_150946808	1_150953569
16	2273	1_150946808	1_151127851
18	426	1_156595211	1_156336818
18	2274	1_156595211	1_156380226
18	427	1_156595211	1_156393868
18	429	1_156595211	1_156622326
18	2275	1_156595211	1_156682729
18	433	1_156595211	1_156828053
18	2276	1_156595211	1_156881919
19	435	1_165325652	1_165548166
21	439	1_172113777	1_172106830
21	440	1_172113777	1_172316003
21	441	1_172113777	1_172332056
21	442	1_172113777	1_172387710
21	2277	1_172113777	1_172410203
22	443	1_200841100	1_200588010
23	450	1_207275723	1_207491500
23	451	1_207275723	1_207626422
23	452	1_207275723	1_207659875
24	2278	1_224357606	1_222909496
24	2279	1_224357606	1_224032489
24	2280	1_224357606	1_224396242
24	2281	1_224357606	1_224439833
24	2282	1_224357606	1_224510175
24	2283	1_224357606	1_224543448
24	2284	1_224357606	1_224617641
