from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	727	1_850619	1_831895
1	3574	1_850619	1_1150970
2	1	1_1096739	1_850619
2	3575	1_1096739	1_1062660
2	3576	1_1096739	1_1064245
2	3577	1_1096739	1_1069046
2	3578	1_1096739	1_1083959
2	3579	1_1096739	1_1091235
2	730	1_1096739	1_1109733
2	3574	1_1096739	1_1150970
2	733	1_1096739	1_1206874
3	3580	1_2155766	1_2126598
3	3581	1_2155766	1_2198637
3	3582	1_2155766	1_2203699
3	3583	1_2155766	1_2227416
3	3584	1_2155766	1_2233705
3	3585	1_2155766	1_2235148
3	3586	1_2155766	1_2239529
3	3587	1_2155766	1_2240097
3	3588	1_2155766	1_2242544
3	3589	1_2155766	1_2283074
3	3590	1_2155766	1_2288245
3	3591	1_2155766	1_2308195
3	739	1_2155766	1_2319572
3	3592	1_2155766	1_2324378
3	3593	1_2155766	1_2327551
3	3594	1_2155766	1_2327925
3	3595	1_2155766	1_2333188
3	3596	1_2155766	1_2496975
3	5	1_2155766	1_2514865
3	3597	1_2155766	1_2569525
4	3598	1_2335725	1_2048007
4	3599	1_2335725	1_2122561
4	3600	1_2335725	1_2123846
4	3580	1_2335725	1_2126598
4	3594	1_2335725	1_2327925
4	3601	1_2335725	1_2529954
4	3602	1_2335725	1_2555269
4	3603	1_2335725	1_2565297
4	3604	1_2335725	1_2569367
4	3597	1_2335725	1_2569525
4	741	1_2335725	1_2696923
4	3605	1_2335725	1_2710655
4	3606	1_2335725	1_2716377
4	3607	1_2335725	1_2746291
4	3608	1_2335725	1_2752815
4	3609	1_2335725	1_3324476
4	3610	1_2335725	1_3326134
4	3611	1_2335725	1_3338276
4	3612	1_2335725	1_3339940
4	3613	1_2335725	1_3343970
4	3614	1_2335725	1_3363740
4	3615	1_2335725	1_3423131
5	3599	1_2514865	1_2122561
5	3600	1_2514865	1_2123846
5	3580	1_2514865	1_2126598
5	3616	1_2514865	1_2130825
5	3617	1_2514865	1_2140691
5	3618	1_2514865	1_2150201
5	3619	1_2514865	1_2152194
5	3592	1_2514865	1_2324378
5	3593	1_2514865	1_2327551
5	3594	1_2514865	1_2327925
5	3595	1_2514865	1_2333188
5	4	1_2514865	1_2335725
5	3620	1_2514865	1_2351789
5	3597	1_2514865	1_2569525
5	3609	1_2514865	1_3324476
5	3611	1_2514865	1_3338276
5	3612	1_2514865	1_3339940
5	3613	1_2514865	1_3343970
6	3621	1_2927637	1_2923852
6	3622	1_2927637	1_3180611
6	3623	1_2927637	1_3190698
6	3624	1_2927637	1_3197688
6	3625	1_2927637	1_3198698
6	3626	1_2927637	1_3205490
6	3627	1_2927637	1_3215025
6	3628	1_2927637	1_3217946
6	3629	1_2927637	1_3218697
6	3630	1_2927637	1_3223714
6	3631	1_2927637	1_3228335
6	3632	1_2927637	1_3240537
6	3633	1_2927637	1_3281303
6	3634	1_2927637	1_3284414
6	3635	1_2927637	1_3300869
6	3636	1_2927637	1_3302614
6	3637	1_2927637	1_3303599
6	3638	1_2927637	1_3304675
6	3639	1_2927637	1_3317711
6	3609	1_2927637	1_3324476
6	3610	1_2927637	1_3326134
6	3611	1_2927637	1_3338276
6	3612	1_2927637	1_3339940
6	3613	1_2927637	1_3343970
6	3640	1_2927637	1_3346909
6	3614	1_2927637	1_3363740
6	3641	1_2927637	1_3369035
6	3642	1_2927637	1_3369192
7	3614	1_3581866	1_3363740
7	3641	1_3581866	1_3369035
7	3642	1_3581866	1_3369192
7	3643	1_3581866	1_3395462
7	3644	1_3581866	1_3404212
7	3615	1_3581866	1_3423131
7	3645	1_3581866	1_3438688
7	3646	1_3581866	1_3445669
7	3647	1_3581866	1_3449253
7	3648	1_3581866	1_3454615
7	3649	1_3581866	1_3531260
7	3650	1_3581866	1_3544979
7	3651	1_3581866	1_3807530
7	3652	1_3581866	1_3819684
7	3653	1_3581866	1_6043907
8	3654	1_4706843	1_3832821
8	3655	1_4706843	1_5528259
8	3656	1_4706843	1_5541966
8	3657	1_4706843	1_5550912
8	3658	1_4706843	1_5794178
8	3659	1_4706843	1_5800838
8	3660	1_4706843	1_5802618
8	3661	1_4706843	1_5966254
8	3662	1_4706843	1_6027963
9	3663	1_8375879	1_7839781
9	3664	1_8375879	1_7876206
9	3665	1_8375879	1_7892807
9	3666	1_8375879	1_7959940
9	3667	1_8375879	1_7960134
9	3668	1_8375879	1_7961235
9	3669	1_8375879	1_7975914
9	3670	1_8375879	1_7976780
9	3671	1_8375879	1_7997668
9	745	1_8375879	1_7998728
9	3672	1_8375879	1_8004812
9	746	1_8375879	1_8008116
9	3673	1_8375879	1_8036092
9	3674	1_8375879	1_8036415
9	3675	1_8375879	1_8052131
9	3676	1_8375879	1_8061079
9	3677	1_8375879	1_8066529
9	3678	1_8375879	1_8071952
9	3679	1_8375879	1_8073016
9	3680	1_8375879	1_8074058
9	3681	1_8375879	1_8077647
9	3682	1_8375879	1_8078323
9	3683	1_8375879	1_8078939
9	3684	1_8375879	1_8079876
9	747	1_8375879	1_8081098
9	3685	1_8375879	1_8094266
9	3686	1_8375879	1_8097258
9	3687	1_8375879	1_8098553
9	3688	1_8375879	1_8099040
9	3689	1_8375879	1_8100798
9	3690	1_8375879	1_8103014
9	3691	1_8375879	1_8119024
9	3692	1_8375879	1_8133492
9	3693	1_8375879	1_8136350
9	3694	1_8375879	1_8137147
9	3695	1_8375879	1_8137987
9	3696	1_8375879	1_8143930
9	3697	1_8375879	1_8145403
9	3698	1_8375879	1_8149571
9	3699	1_8375879	1_8156250
9	3700	1_8375879	1_8157013
9	3701	1_8375879	1_8157904
9	3702	1_8375879	1_8162392
9	3703	1_8375879	1_8170259
9	3704	1_8375879	1_8170410
9	3705	1_8375879	1_8203407
9	3706	1_8375879	1_8209343
9	3707	1_8375879	1_8217109
9	3708	1_8375879	1_8222523
9	3709	1_8375879	1_8225692
9	3710	1_8375879	1_8227486
9	3711	1_8375879	1_8232575
9	3712	1_8375879	1_8238882
9	3713	1_8375879	1_8239762
9	3714	1_8375879	1_8242092
9	3715	1_8375879	1_8254776
9	3716	1_8375879	1_8777515
9	3717	1_8375879	1_8786833
9	3718	1_8375879	1_8790116
9	3719	1_8375879	1_8793644
9	3720	1_8375879	1_8794513
9	3721	1_8375879	1_8797310
9	3722	1_8375879	1_8815606
9	3723	1_8375879	1_8830200
9	3724	1_8375879	1_8890622
9	3725	1_8375879	1_8920526
10	3726	1_10494029	1_9950805
10	3727	1_10494029	1_10552131
10	3728	1_10494029	1_10969541
11	3729	1_12225212	1_11793489
11	3730	1_12225212	1_11879068
11	3731	1_12225212	1_11917524
11	3732	1_12225212	1_11953288
11	3733	1_12225212	1_11980154
