from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	808	1_40146153	1_40069732
1	809	1_40146153	1_40437812
2	810	1_46668482	1_46077863
2	811	1_46668482	1_46165149
2	812	1_46668482	1_46275483
2	813	1_46668482	1_46320232
2	814	1_46668482	1_46327176
2	815	1_46668482	1_46333634
2	816	1_46668482	1_46352900
2	817	1_46668482	1_46354806
2	818	1_46668482	1_46415920
2	819	1_46668482	1_46423557
2	820	1_46668482	1_46423717
2	821	1_46668482	1_46481637
2	822	1_46668482	1_46497619
2	823	1_46668482	1_46500471
2	824	1_46668482	1_46506425
2	825	1_46668482	1_46506610
2	826	1_46668482	1_46508083
2	827	1_46668482	1_46509664
2	131	1_46668482	1_46511224
2	828	1_46668482	1_46521553
2	829	1_46668482	1_46525100
2	830	1_46668482	1_46527711
3	831	1_65610395	1_64726603
3	832	1_65610395	1_65528278
3	833	1_65610395	1_65529880
3	834	1_65610395	1_65534777
3	835	1_65610395	1_66143059
3	836	1_65610395	1_66150665
3	837	1_65610395	1_66152310
3	838	1_65610395	1_66162568
3	839	1_65610395	1_66170541
3	840	1_65610395	1_66173330
3	841	1_65610395	1_66277727
3	842	1_65610395	1_66747905
3	843	1_65610395	1_66797745
3	844	1_65610395	1_66798971
3	845	1_65610395	1_66811520
3	846	1_65610395	1_66838564
3	847	1_65610395	1_66901433
3	848	1_65610395	X_146285595
4	849	1_75122340	1_71509061
4	850	1_75122340	1_71584163
4	851	1_75122340	1_73089753
4	852	1_75122340	1_75113374
4	853	1_75122340	1_75115025
4	854	1_75122340	1_75116668
4	855	1_75122340	1_75116997
4	856	1_75122340	1_75118923
5	857	1_149858435	1_145115011
5	148	1_149858435	1_149812977
5	858	1_149858435	1_149815603
5	859	1_149858435	1_149816397
5	860	1_149858435	1_149817127
5	149	1_149858435	1_149821721
5	861	1_149858435	1_149865679
5	862	1_149858435	1_149867248
5	863	1_149858435	1_149894446
5	864	1_149858435	1_149898260
5	865	1_149858435	1_149901802
5	150	1_149858435	1_149907731
5	866	1_149858435	1_149929308
5	867	1_149858435	1_149931657
5	868	1_149858435	1_149934282
5	869	1_149858435	1_149934837
5	870	1_149858435	1_149975332
5	871	1_149858435	1_149975923
5	872	1_149858435	1_149978042
5	873	1_149858435	1_149980378
5	151	1_149858435	1_149981982
5	874	1_149858435	1_149999915
5	875	1_149858435	1_150003637
5	876	1_149858435	1_150006507
5	877	1_149858435	1_150009242
5	878	1_149858435	1_150015230
5	879	1_149858435	1_150021149
5	880	1_149858435	1_150021577
5	881	1_149858435	1_150023703
5	882	1_149858435	1_150034143
5	883	1_149858435	1_150036879
5	152	1_149858435	1_150038459
5	884	1_149858435	1_150040152
5	885	1_149858435	1_150040492
5	886	1_149858435	1_150045345
5	887	1_149858435	1_150045535
5	888	1_149858435	1_150056308
5	889	1_149858435	1_150056721
5	890	1_149858435	1_150078910
5	891	1_149858435	1_150093945
5	892	1_149858435	1_150113074
5	153	1_149858435	1_150113719
5	893	1_149858435	1_150130465
5	894	1_149858435	1_150131782
5	895	1_149858435	1_150132067
5	896	1_149858435	1_150145559
5	897	1_149858435	1_150149029
5	898	1_149858435	1_150151334
5	899	1_149858435	1_150160325
5	900	1_149858435	1_150165514
5	901	1_149858435	1_150180074
5	902	1_149858435	1_150185764
5	903	1_149858435	1_150192728
5	904	1_149858435	1_150227107
5	679	1_149858435	6_26032305
5	680	1_149858435	6_26050869
5	681	1_149858435	6_26097561
5	905	1_149858435	6_26163576
5	906	1_149858435	6_26187322
5	682	1_149858435	6_26196886
5	683	1_149858435	6_26244367
5	684	1_149858435	6_26271042
5	685	1_149858435	6_27113447
5	688	1_149858435	6_27776624
5	689	1_149858435	6_27834351
5	690	1_149858435	6_27840382
5	691	1_149858435	6_27858120
6	907	1_151155053	1_151065288
6	908	1_151155053	1_151069794
6	909	1_151155053	1_151072429
6	910	1_151155053	1_151215309
6	911	1_151155053	1_151218820
6	912	1_151155053	1_151397449
7	913	1_155145634	1_154528818
7	914	1_155145634	1_155031142
7	158	1_155145634	1_155036065
7	915	1_155145634	1_155037485
7	916	1_155145634	1_155047285
7	917	1_155145634	1_155058922
7	918	1_155145634	1_155065932
7	919	1_155145634	1_155070365
7	920	1_155145634	1_155610178
7	921	1_155145634	1_155624657
8	922	1_205778111	1_205561889
8	161	1_205778111	1_206222001
8	923	1_205778111	1_206229796
8	924	1_205778111	1_206257776
8	925	1_205778111	1_206309562
8	926	1_205778111	1_206314485
8	927	1_205778111	1_206324804
8	928	1_205778111	1_207226202
9	929	1_237202483	1_236926000
9	930	1_237202483	1_237209296
10	931	10_6014419	10_5781988
10	932	10_6014419	10_6126182
10	933	10_6014419	10_6128650
10	934	10_6014419	10_6130015
10	935	10_6014419	10_6440425
10	936	10_6014419	10_6467596
10	937	10_6014419	10_6665179
10	938	10_6014419	10_6722535
11	939	10_18548401	10_17638150
11	940	10_18548401	10_17643547
11	941	10_18548401	10_17645514
12	942	10_64133767	10_63613746
12	943	10_64133767	10_64904644
13	944	10_78040741	10_77114927
13	945	10_78040741	10_77151168
14	946	10_82165769	10_81250972
14	947	10_82165769	10_82181330
14	948	10_82165769	10_82181970
14	949	10_82165769	10_82209360
14	950	10_82165769	10_82248228
