from	to	ver[el[, 1], ]	ver2[el[, 2], ]
1	2217	1_831895	1_850619
1	3	1_831895	1_889424
1	2218	1_831895	1_903641
1	2222	1_831895	1_1206874
1	2223	1_831895	1_1239426
2	3	1_848169	1_889424
2	2222	1_848169	1_1206874
3	2	1_889424	1_848169
3	2222	1_889424	1_1206874
4	2218	1_943677	1_903641
4	2222	1_943677	1_1206874
4	2223	1_943677	1_1239426
4	2225	1_943677	1_1309969
4	12	1_943677	1_1364314
5	2	1_1049052	1_848169
5	2217	1_1049052	1_850619
5	3	1_1049052	1_889424
5	2218	1_1049052	1_903641
5	6	1_1049052	1_1096739
5	2221	1_1049052	1_1107116
5	7	1_1049052	1_1109733
5	2222	1_1049052	1_1206874
5	2223	1_1049052	1_1239426
5	2224	1_1049052	1_1283837
5	2225	1_1049052	1_1309969
5	12	1_1049052	1_1364314
5	9684	1_1049052	1_1545983
5	2228	1_1049052	1_1648711
6	2217	1_1096739	1_850619
6	9685	1_1096739	1_1069046
6	7	1_1096739	1_1109733
6	2222	1_1096739	1_1206874
7	2217	1_1109733	1_850619
7	9685	1_1109733	1_1069046
7	9686	1_1109733	1_1092013
7	6	1_1109733	1_1096739
7	2222	1_1109733	1_1206874
7	9687	1_1109733	1_1220555
8	2	1_1126526	1_848169
8	2217	1_1126526	1_850619
8	3	1_1126526	1_889424
8	2218	1_1126526	1_903641
8	6	1_1126526	1_1096739
8	2221	1_1126526	1_1107116
8	7	1_1126526	1_1109733
8	2222	1_1126526	1_1206874
8	2223	1_1126526	1_1239426
8	2224	1_1126526	1_1283837
8	2225	1_1126526	1_1309969
8	12	1_1126526	1_1364314
8	9688	1_1126526	1_2420090
9	2217	1_1160798	1_850619
9	2218	1_1160798	1_903641
9	2219	1_1160798	1_927395
9	2223	1_1160798	1_1239426
9	2225	1_1160798	1_1309969
10	2217	1_1212439	1_850619
10	3	1_1212439	1_889424
10	2218	1_1212439	1_903641
10	6	1_1212439	1_1096739
10	2221	1_1212439	1_1107116
10	7	1_1212439	1_1109733
10	2223	1_1212439	1_1239426
11	2217	1_1313316	1_850619
11	2218	1_1313316	1_903641
11	2222	1_1313316	1_1206874
11	12	1_1313316	1_1364314
11	9689	1_1313316	1_2450976
12	2225	1_1364314	1_1309969
12	9690	1_1364314	1_1442647
13	2217	1_1373174	1_850619
13	2218	1_1373174	1_903641
13	2225	1_1373174	1_1309969
13	9688	1_1373174	1_2420090
14	2225	1_1398654	1_1309969
14	2228	1_1398654	1_1648711
15	2228	1_1562478	1_1648711
16	9691	1_1709350	1_1817765
16	2229	1_1709350	1_1820953
17	9692	1_1842635	1_1695714
17	9693	1_1842635	1_1980724
17	9694	1_1842635	1_2049070
18	2231	1_2104999	1_2319572
18	20	1_2104999	1_2335725
18	9688	1_2104999	1_2420090
18	9689	1_2104999	1_2450976
18	2233	1_2104999	1_2514865
19	9695	1_2155766	1_2227416
19	9696	1_2155766	1_2242544
19	2231	1_2155766	1_2319572
19	9697	1_2155766	1_2496975
19	2233	1_2155766	1_2514865
20	2234	1_2335725	1_2696923
21	9698	1_2985230	1_3228335
21	9699	1_2985230	1_3281303
22	2236	1_3531260	1_3370481
22	9700	1_3531260	1_3819684
23	22	1_3581866	1_3531260
