gene_names	ID	CpG_logFC	Gene_logFC	Gene_P.value	AveExpr	Gene_log2_P.value
AC011484.1	19_46992305	DOWN	0	1	0	-0
AC011484.1	19_46992305	DOWN	0	1	0	-0
AC011484.1	19_46992305	DOWN	0	1	0	-0
AC011495.1	19_50180194	DOWN	0	1	0	-0
AC011495.1	19_50180194	DOWN	0	1	0	-0
AC011523.2	19_51319574	"NA"	0	1	0	-0
AC011551.3	19_47099124	"NA"	0	1	0	-0
AC011747.7	2_8815511	"NA"	0	1	0	-0
AC011747.7	2_8821099	"NA"	0	1	0	-0
AC012314.20	19_54703387	"NA"	0	1	0	-0
AC012314.8	19_54622003	"NA"	0	1	0	-0
AC012456.4	2_11885173	"NA"	0	1	0	-0
AC012499.1	2_178560531	"NA"	0	1	0	-0
AC012531.23	12_54347781	"NA"	0	1	0	-0
AC012531.25	12_54410340	"NA"	0	1	0	-0
AC012594.1	2_171206926	"NA"	0	1	0	-0
AC012594.1	2_171196248	"NA"	0	1	0	-0
AC013264.2	2_198059736	"NA"	0	1	0	-0
AC013472.4	2_27231056	"NA"	0	1	0	-0
AC016644.1	5_56231243	"NA"	0	1	0	-0
AC016907.3	2_30360487	"NA"	0	1	0	-0
AC017076.5	2_6970754	"NA"	0	1	0	-0
AC017116.11	7_44103689	"NA"	0	1	0	-0
AC018470.1	2_175195359	"NA"	0	1	0	-0
AC018755.1	19_52089926	"NA"	0	1	0	-0
AC018755.16	19_52089926	"NA"	0	1	0	-0
AC018755.2	19_52188083	"NA"	0	1	0	-0
AC018816.3	3_4922743	"NA"	0	1	0	-0
AC019048.1	2_7217303	"NA"	0	1	0	-0
AC019181.2	2_165693725	"NA"	0	1	0	-0
AC019201.1	2_158296257	"NA"	0	1	0	-0
AC020956.3	19_42338250	"NA"	0	1	0	-0
AC021106.1	4_37960847	"NA"	0	1	0	-0
AC021188.4	2_96986565	"NA"	0	1	0	-0
AC021205.1	4_123746846	DOWN	0	1	0	-0
AC022201.4	2_70626589	"NA"	0	1	0	-0
AC022201.5	2_70520221	"NA"	0	1	0	-0
AC022431.2	5_55901742	"NA"	0	1	0	-0
AC025165.8	12_57992706	DOWN	0	1	0	-0
AC026954.6	17_7229851	"NA"	0	1	0	-0
AC027307.3	19_1426729	"NA"	0	1	0	-0
AC034220.3	5_131704172	"NA"	0	1	0	-0
AC037199.1	19_51371886	"NA"	0	1	0	-0
AC040160.1	16_67259494	"NA"	0	1	0	-0
AC040162.1	16_67911016	"NA"	0	1	0	-0
AC053503.11	2_220371494	"NA"	0	1	0	-0
AC062028.1	2_11272832	"NA"	0	1	0	-0
AC064874.1	2_236691274	"NA"	0	1	0	-0
AC067968.3	19_44529346	"NA"	0	1	0	-0
AC068039.4	2_172626475	"NA"	0	1	0	-0
AC068669.1	17_38281234	"NA"	0	1	0	-0
AC068831.3	15_91477137	"NA"	0	1	0	-0
AC073115.6	7_46009216	"NA"	0	1	0	-0
AC073130.1	7_115924625	"NA"	0	1	0	-0
AC073610.5	12_49333266	"NA"	0	1	0	-0
AC073957.15	7_1065596	"NA"	0	1	0	-0
AC074117.10	2_27577243	"NA"	0	1	0	-0
AC074129.1	5_38081824	"NA"	0	1	0	-0
AC074138.3	19_37177995	"NA"	0	1	0	-0
AC074212.5	19_46258116	"NA"	0	1	0	-0
AC074212.6	19_46258116	"NA"	0	1	0	-0
AC074286.1	2_178255995	"NA"	0	1	0	-0
AC078883.3	2_173322334	"NA"	0	1	0	-0
AC079135.1	2_237072120	"NA"	0	1	0	-0
AC079305.10	2_178125221	"NA"	0	1	0	-0
AC079305.8	2_178073399	"NA"	0	1	0	-0
AC079753.1	2_113594484	"NA"	0	1	0	-0
AC079807.2	2_48130849	"NA"	0	1	0	-0
AC080037.1	17_70708801	"NA"	0	1	0	-0
AC084219.4	19_44616755	"NA"	0	1	0	-0
AC084368.1	7_95932648	"NA"	0	1	0	-0
AC087491.2	17_37771251	"NA"	0	1	0	-0
AC090627.1	17_46371490	"NA"	0	1	0	-0
AC091633.3	3_195269445	"NA"	0	1	0	-0
AC092171.2	7_5441213	"NA"	0	1	0	-0
AC092171.4	7_5489147	DOWN	0	1	0	-0
AC092171.4	7_5489147	DOWN	0	1	0	-0
AC092171.4	7_5489147	DOWN	0	1	0	-0
AC092295.7	19_37061433	"NA"	0	1	0	-0
AC092669.1	2_66666185	DOWN	0	1	0	-0
AC092675.1	2_98902281	"NA"	0	1	0	-0
AC092675.3	2_98968858	"NA"	0	1	0	-0
AC092675.4	2_98960936	DOWN	0	1	0	-0
AC092811.1	1_225596388	"NA"	0	1	0	-0
AC092958.1	3_147796068	"NA"	0	1	0	-0
AC093110.3	2_54888688	"NA"	0	1	0	-0
