"","gene_names","ID","CpG_logFC","Gene_logFC","Gene_P.value","Gene_log2_P.value"
"384","EGFL8","6_32097279","UP",0.14616904620021,0.631587245307229,0.66294605813793
"385","EGFL8","6_32097279","UP",0.14616904620021,0.631587245307229,0.66294605813793
"386","EGR4","2_73520192","NA",-0.478758831875818,0.595768986686021,0.747175070190189
"387","EHD1","11_64655001","NA",-0.0149640137814044,0.95480853593008,0.0667166308043412
"388","EHMT2","6_31851517","NA",0.0928044319141961,0.630631510280336,0.665130837030034
"389","EHMT2-AS1","6_31851517","NA",0.117358490403537,0.798638136995786,0.324386128925668
"390","EIF3K","19_39109596","NA",0.000529874378210948,0.99754522947211,0.0035458391606019
"391","EIF3M","11_32605092","NA",-0.0535251138213608,0.77209700334145,0.37314598126948
"392","EIF4A1","17_7466839","NA",0.462486276095558,0.0696598651128227,3.8435285104368
"393","EIF4A1","17_7477838","NA",0.462486276095558,0.0696598651128227,3.8435285104368
"394","ELMOD2","4_141439359","NA",0.0691971173102646,0.768320780024485,0.380219321534273
"395","EMC9","14_24605003","NA",-0.106676961892321,0.644362609912409,0.634055312914517
"396","EN2","7_155247684","NA",-0.259916653181729,0.402852074561815,1.31167790991358
"397","ENTPD4","8_23312289","NA",-0.1107541153255,0.589822151827821,0.761648088472776
"398","EPB41L3","18_5622368","UP",-0.47863083111343,0.641527790217306,0.640416332393459
"399","EPB41L4A","5_111525588","NA",-0.283861161970963,0.486229190504939,1.04029158750884
"400","EPB41L4A-AS1","5_111489948","NA",0.385160013173882,0.0765312887874677,3.70780649491349
"401","EPHA3","3_89154247","UP",-0.61167299546422,0.337623338868358,1.5665134583013
"402","ERAP2","5_96210582","NA",0.495385162076176,0.271593349966464,1.88047993963409
"403","EREG","4_75228079","UP",-1.76872107167329,0.260293756568115,1.9417873873568
"404","ERLIN1","10_101944868","NA",0.446222274639364,0.061875866341941,4.01447936996223
"405","ERMP1","9_5831936","UP",0.0855680927488365,0.768640236249047,0.379619595304768
"406","ETNPPL","4_109679489","NA",-0.136507300798381,0.713480208306738,0.487054684490803
"407","ETS1","11_128449766","NA",-0.312737951672945,0.568260035708134,0.815376837025923
"408","EVL","14_100431709","UP",-0.28283456521301,0.513806898257966,0.960701835213541
"409","EVX1","7_27282072","NA",-0.380880964191784,0.224434352230269,2.1556345811545
"410","EVX1-AS","7_27282072","NA",-0.245054745011643,0.327170707318624,1.61188451011001
"411","EXOC3","5_457328","UP",0.042935386486139,0.748843326747218,0.417264185773959
"412","EXOC3","5_457328","UP",0.042935386486139,0.748843326747218,0.417264185773959
"413","EYA4","6_133560667","UP",-0.583099266402222,0.287879849134895,1.79646128747473
"414","EYA4","6_133560667","UP",-0.583099266402222,0.287879849134895,1.79646128747473
"415","FAAH","1_46859762","NA",0.148309254249812,0.759055833595421,0.397722085546183
"416","FAM102A","9_130736990","UP",-0.172376907986297,0.614981974345473,0.701383970457457
"417","FAM109A","12_111799033","NA",0,1,0
"418","FAM134A","2_220040597","NA",0,1,0
"419","FAM172A","5_93432979","NA",0.0551495802591004,0.774174782614795,0.36926877975145
"420","FAM175A","4_84444471","NA",0,1,0
"421","FAM178A","10_102671611","NA",0,1,0
"422","FAM192A","16_57217036","NA",0,1,0
"423","FAM213A","10_82165769","UP",0,1,0
"424","FAM222A","12_110150727","NA",-0.0780326952211053,0.840932827817316,0.249937529656881
"425","FAM222A-AS1","12_110205640","UP",0.381436496974924,0.561736442639767,0.832034694124639
"426","FAM222A-AS1","12_110205640","UP",0.381436496974924,0.561736442639767,0.832034694124639
"427","FANCD2","3_10066305","NA",0.16785299412105,0.438561889382182,1.18914764627805
"428","FARS2","6_5260324","NA",0.283276101788388,0.0508714467239578,4.29700006644502
"429","FASTKD2","2_207629540","NA",0.249970077904345,0.137570633037343,2.86175556157072
"430","FAU","11_64886199","NA",0.127031132621316,0.474292303553629,1.07615163721228
"431","FBXO8","4_175202395","NA",-0.10836491905329,0.52235329382218,0.936902190697395
"432","FEM1C","5_114879660","NA",0.0231738298787301,0.920452187347402,0.119585311789436
"433","FITM1","14_24594230","NA",0.212918361461911,0.417041314668579,1.26173778192489
"434","FKBP1A","20_1372601","NA",-0.424533020609493,0.0146723001631066,6.09076113104839
"435","FKBP4","12_2902730","UP",-0.0586107320361773,0.848200777729322,0.237522289121464
"436","FKBP4","12_2902730","UP",-0.0586107320361773,0.848200777729322,0.237522289121464
"437","FKBPL","6_32097279","UP",-0.200339278326557,0.399828658790615,1.32254621006527
"438","FKBPL","6_32097279","UP",-0.200339278326557,0.399828658790615,1.32254621006527
"439","FKBPL","6_32097279","UP",-0.200339278326557,0.399828658790615,1.32254621006527
"440","FLI1","11_128559233","NA",-0.12672900478873,0.420228669774567,1.25075350277021
"441","FLJ27365","22_46440513","UP",0,1,0
"442","FLOT1","6_30709383","NA",-0.216876847476977,0.511207117297264,0.968020172495279
"443","FNIP2","4_159685698","NA",-0.458760377990671,0.285883765939704,1.80649939679051
"444","FP15737","8_23424387","NA",0,1,0
"445","FRA10AC1","10_95457608","NA",0.138760783369685,0.494865113369918,1.01489275513196
"446","FXR2","17_7516998","NA",0.0596053736537314,0.732553420065671,0.44899412572284
"447","FZD5","2_208630833","DOWN",-0.560375904357645,0.134382072032254,2.89558741447446
"448","GALNT6","12_51784576","UP",-0.156756626398573,0.477849827286729,1.06537079774561
"449","GARS","7_30632312","NA",0,1,0
"450","GBP4","1_89664459","NA",-0.44222583592112,0.554568564071591,0.850562255905224
"451","GBP5","1_89735158","NA",0.391150743284055,0.353408051157288,1.50059318789997
"452","GBP6","1_89827325","NA",0.753181880916566,0.215133924196198,2.21669305543277
"453","GBP7","1_89640140","NA",-0.267260617998804,0.632567566701391,0.660708507667206
"454","GCAT","22_38185568","UP",0.42500108415159,0.379821821995985,1.39660529950794
"455","GCAT","22_38185568","UP",0.42500108415159,0.379821821995985,1.39660529950794
"456","GCAT","22_38185568","UP",0.42500108415159,0.379821821995985,1.39660529950794
"457","GDF7","2_20857075","UP",0.207652524283481,0.464601868437587,1.10593313880302
"458","GEN1","2_17926946","NA",0.223814920956757,0.306365743391621,1.70667310507227
"459","GGA1","22_38000189","NA",-0.126242566099984,0.513934501409405,0.960343588606392
"460","GGCT","7_30540287","NA",0.241061933662372,0.3924049106161,1.34958499910706
"461","GGN","19_38877104","DOWN",0.0498361512536884,0.877777435841312,0.188072910151465
"462","GHITM","10_85897642","NA",-0.0613277694706618,0.694131101992969,0.526719921518509
"463","GHRL","3_10329158","NA",-0.160782562351244,0.646764321327754,0.628687999970736
"464","GHRLOS","3_10324247","NA",0.055492369342963,0.806492509622245,0.310266960614967
"465","GHRLOS","3_10329158","NA",0.055492369342963,0.806492509622245,0.310266960614967
"466","GIMAP1","7_150405092","NA",-0.452434825931522,0.337126438219972,1.56863832371118
"467","GIMAP4","7_150259416","NA",-0.108944455108984,0.883621624105557,0.178499369937815
"468","GIMAP5","7_150414325","NA",-0.666530161437084,0.286112461076899,1.80534576205551
"469","GIMAP6","7_150329338","NA",-1.06152396942766,0.0530353985171406,4.23690058069831
"470","GIMAP7","7_150208948","UP",-0.481643469891996,0.502194484235519,0.993681911777279
"471","GIMAP7","7_150208948","UP",-0.481643469891996,0.502194484235519,0.993681911777279
"472","GIMAP7","7_150208948","UP",-0.481643469891996,0.502194484235519,0.993681911777279
"473","GIMAP8","7_150146693","NA",-0.716928533183021,0.271078767563833,1.88321597739587
"474","GIN1","5_102455800","NA",-0.075376652576689,0.779948172200364,0.358549835263453
"475","GLT1D1","12_129332734","NA",-0.741681063990284,0.512995630550198,0.96298155718448
"476","GMFG","19_39826841","NA",-0.230787329092388,0.14355327701039,2.80034183036333
"477","GMPR2","14_24702554","NA",0.317269500537378,0.00633636495778826,7.30212885144977
"478","GMPR2","14_24699675","NA",0.317269500537378,0.00633636495778826,7.30212885144977
"479","GNAS","20_57456486","NA",0.0159454679521573,0.921811639625561,0.117456110328383
"480","GNAS","20_57422584","NA",0.0159454679521573,0.921811639625561,0.117456110328383
"481","GNAS-AS1","20_57422584","NA",-0.0991606828748961,0.858417442927845,0.220248703124444
"482","GNL1","6_30517120","NA",-0.214784619704401,0.261087374931943,1.93739539810772
"483","GOLGA5","14_93259738","NA",-0.097726623588315,0.49749933884411,1.00723348651139
"484","GP2","16_20337960","NA",-0.660825578742458,0.045454427114843,4.45943537466043
"485","GPANK1","6_31629077","NA",-0.0851810673595201,0.559397605317981,0.838054016981853
"486","GPR139","16_20084693","UP",-0.564780574225615,0.0811643251428646,3.62301044326194
"487","GPR98","5_89822079","NA",0,1,0
"488","GPX5","6_28491245","NA",0.469803161178198,0.156212946620144,2.67841406874001
"489","GRAMD4","22_46962359","NA",-0.0166719299071749,0.954583445024503,0.067056778388461
"490","GTF2H4","6_30864617","UP",-0.100789736991187,0.619362621039131,0.69114377688721
"491","GTSE1","22_46691129","NA",-0.161263947127861,0.662375118957631,0.59427961352146
"492","GULP1","2_189149549","UP",-0.814369761263493,0.318058683927344,1.65263511805686
"493","H1F0","22_38185568","UP",0,1,0
"494","H1F0","22_38185568","UP",0,1,0
"495","H1F0","22_38185568","UP",0,1,0
"496","HAX1","1_154237905","NA",-0.165911263999275,0.238802799120588,2.06610834767441
"497","HCG17","6_30293792","NA",-0.028057420288738,0.962928808531389,0.0544989545292463
"498","HCG18","6_30293792","NA",0.354968926650699,0.122559656249851,3.02844393891631
"499","HCG21","6_30915623","NA",0.243523483026086,0.435412313597316,1.19954588691433
"500","HCN3","1_155246372","NA",-0.325656948165583,0.298995360561328,1.74180499624021
"501","HCP5","6_31362933","NA",-0.154303868138623,0.77107704155328,0.375053081810516
"502","HECTD3","1_45476778","NA",-0.128989609551794,0.537759274452535,0.89496759361876
"503","HELLS","10_96303286","NA",-0.292074074262433,0.378115343149515,1.40310170275184
"504","HIF1AN","10_102286634","NA",0.0496755767525539,0.738896458221934,0.436555881633024
"505","HIGD1C","12_51337146","NA",-0.121319382353904,0.798147092947531,0.325273445293983
"506","HIPK2","7_139472294","NA",-0.0929892366359173,0.748581162026602,0.417769351475507
"507","HIST1H1B","6_27834351","NA",0,1,0
"508","HIST1H1C","6_26050869","NA",0,1,0
"509","HIST1H1PS1","6_26187322","NA",0,1,0
"510","HIST1H2AB","6_26032305","NA",0,1,0
"511","HIST1H2AD","6_26196886","NA",0,1,0
"512","HIST1H2AH","6_27113447","NA",0,1,0
"513","HIST1H2AI","6_27770375","NA",0,1,0
"514","HIST1H2AM","6_27858120","NA",0,1,0
"515","HIST1H2APS4","6_26271042","NA",0,1,0
"516","HIST1H2BE","6_26163576","NA",0,1,0
"517","HIST1H2BI","6_26271042","NA",0,1,0
"518","HIST1H2BK","6_27113447","NA",0,1,0
"519","HIST1H2BL","6_27770375","NA",0,1,0
"520","HIST1H2BO","6_27861035","NA",0,1,0
"521","HIST1H3D","6_26196886","NA",0,1,0
"522","HIST1H3G","6_26271042","NA",0,1,0
"523","HIST1H3H","6_27776624","NA",0,1,0
"524","HIST1H3J","6_27858120","NA",0,1,0
"525","HIST1H4C","6_26097561","NA",0,1,0
"526","HIST1H4D","6_26187322","NA",0,1,0
"527","HIST1H4G","6_26244367","NA",0,1,0
"528","HIST1H4L","6_27840382","NA",0,1,0
"529","HIST1H4PS1","6_27770375","NA",0,1,0
"530","HIST2H2AA3","1_149812977","NA",0,1,0
"531","HIST2H2AA4","1_149821721","NA",0,1,0
"532","HIST2H2AB","1_149858435","DOWN",0,1,0
"533","HIST2H2AC","1_149858435","DOWN",0,1,0
"534","HIST2H2BC","1_149821721","NA",0,1,0
"535","HIST2H2BD","1_149812977","NA",0,1,0
"536","HKR1","19_37808353","NA",0,1,0
"537","HLA-B","6_31318713","NA",-0.18297344929038,0.517939113175702,0.949145584393276
"538","HLA-DMA","6_32935690","NA",-0.244699422101981,0.631968234582375,0.662076050665697
"539","HLA-DOB","6_32780977","NA",-0.0539111229864546,0.904213888821114,0.145264017111628
"540","HLA-DQA2","6_32708412","NA",-1.52160840421857,0.256324148281496,1.96395869364828
"541","HLA-DQA2","6_32708412","NA",-1.52160840421857,0.256324148281496,1.96395869364828
"542","HLA-DQB2","6_32730340","NA",-0.081063881220613,0.941226248104065,0.0873865411318385
"543","HLA-E","6_30455605","UP",-0.228738067765841,0.367963614293562,1.44236498097881
"544","HLA-E","6_30455605","UP",-0.228738067765841,0.367963614293562,1.44236498097881
"545","HLA-E","6_30455605","UP",-0.228738067765841,0.367963614293562,1.44236498097881
"546","HMGB1","13_31190013","NA",-0.0236426964839822,0.90983822616404,0.136318045244868
"547","HMGCS1","5_43310396","NA",-0.273537819495435,0.316937680473118,1.65772890408459
"548","HMGN2P18","1_155110904","NA",-0.277581880585449,0.560957176130321,0.834037456214774
"549","HNRNPA2B1","7_26238186","NA",0.157459416525322,0.323780314939219,1.62691281895307
"550","HNRNPL","19_39337482","NA",-0.0339644580907086,0.749604677356308,0.415798139785544
"551","HOTAIRM1","7_27137200","NA",-0.222594537123867,0.704452737209602,0.505425177679092
"552","HOTAIRM1","7_27130633","NA",-0.222594537123867,0.704452737209602,0.505425177679092
"553","HOTTIP","7_27230274","NA",0.721955067331397,0.416702835887726,1.262909176495
"554","HOTTIP","7_27238413","NA",0.721955067331397,0.416702835887726,1.262909176495
"555","HOXA-AS2","7_27143269","NA",-0.135697974315538,0.928836495908053,0.106503435096528
"556","HOXA-AS3","7_27181769","NA",0.0856536954662308,0.961637821101344,0.0564344566977363
"557","HOXA-AS3","7_27169429","NA",0.0856536954662308,0.961637821101344,0.0564344566977363
"558","HOXA1","7_27130633","NA",0.00721083320973874,0.992890966085335,0.010292797400304
"559","HOXA10","7_27216169","NA",0.849270040680225,0.522005242042367,0.937863800294206
"560","HOXA10-AS","7_27207967","NA",0.187494864305705,0.904236851049145,0.145227380788858
"561","HOXA11","7_27221402","NA",0.777975635436178,0.594559047558692,0.750107999147156
"562","HOXA11-AS","7_27221402","NA",1.83176325218009,0.15924094939733,2.65071671694671
"563","HOXA13","7_27238413","NA",1.28486262403885,0.243262820286038,2.03941225585958
"564","HOXA13","7_27230274","NA",1.28486262403885,0.243262820286038,2.03941225585958
"565","HOXA2","7_27137200","NA",-0.268442873701328,0.783228116862728,0.352495538155259
"566","HOXA3","7_27143269","NA",0.0341623205459123,0.981991967127995,0.0262168718056487
"567","HOXA3","7_27181769","NA",0.0341623205459123,0.981991967127995,0.0262168718056487
"568","HOXA4","7_27169429","NA",-0.0702051741099821,0.96067769708693,0.0578756002106608
"569","HOXA5","7_27181769","NA",-0.111735249446101,0.949417843990221,0.0748849298953698
"570","HOXA6","7_27181769","NA",0.475162055934731,0.7850342700343,0.349172459826586
"571","HOXA7","7_27196593","UP",0.343884301324405,0.829917837074371,0.268959580009447
"572","HOXA7","7_27196593","UP",0.343884301324405,0.829917837074371,0.268959580009447
"573","HOXA7","7_27196593","UP",0.343884301324405,0.829917837074371,0.268959580009447
"574","HOXA7","7_27196593","UP",0.343884301324405,0.829917837074371,0.268959580009447
"575","HOXA7","7_27196593","UP",0.343884301324405,0.829917837074371,0.268959580009447
"576","HOXA7","7_27196593","UP",0.343884301324405,0.829917837074371,0.268959580009447
"577","HOXA7","7_27196593","UP",0.343884301324405,0.829917837074371,0.268959580009447
"578","HOXA9","7_27207967","NA",0.987018592270038,0.548999851600913,0.865122335628939
"579","HPCAL4","1_40146153","DOWN",0.00612193897818969,0.992550724214931,0.0107872619482556
"580","HPS1","10_100202176","NA",0.00825805199934049,0.966845773618187,0.0486423182994593
"581","HPSE2","10_100993133","UP",-0.0190150626646872,0.976529436023279,0.0342645622297288
"582","hsa-mir.1","20_60638150","NA",0,1,0
"583","HSPA1A","6_31779405","NA",-0.642807736726658,0.0394115088281598,4.66523920717958
"584","HSPA1L","6_31779405","NA",-0.0505168265808114,0.80877210264514,0.306194860343811
"585","HSPA8","11_122928892","NA",-0.150790737220033,0.554745500536538,0.850102033916086
"586","HSPH1","13_31735094","NA",-0.205574877798399,0.472434352334326,1.08181422299629
"587","HTATIP2","11_20384160","NA",-0.749460752724878,0.139486134595313,2.84180637458745
"588","HTR7","10_92612964","NA",-0.614734758405904,0.596089834772378,0.746398323907972
"589","HYDIN","16_70899701","NA",-0.532256241813712,0.281686639070786,1.82783695930179
"590","IDE","10_94332484","UP",0.173150073615611,0.350147151311462,1.51396674468095
"591","IDH1","2_209118065","NA",0.652635311945116,0.00777924197978421,7.00615470082402
"592","IDH1","2_209129299","NA",0.652635311945116,0.00777924197978421,7.00615470082402
"593","IDH1-AS1","2_209118065","NA",0.0778027888623618,0.857343974353469,0.222053951774142
"594","IER3","6_30709383","NA",-0.379978132077323,0.582928773327144,0.778608480150018
"595","IFITM1","11_312307","UP",-1.27549278112174,0.0616313127280154,4.02019266938006
"596","IFITM1","11_312307","UP",-1.27549278112174,0.0616313127280154,4.02019266938006
"597","IFITM2","11_295655","NA",-0.807313992131361,0.0360129933643456,4.7953386698795
"598","IFITM3","11_312307","UP",-1.13790006894759,0.224543457165346,2.15493340996707
"599","IFITM3","11_312307","UP",-1.13790006894759,0.224543457165346,2.15493340996707
"600","IFITM5","11_295655","NA",-1.05683389077998,0.120179499284105,3.05673727873539
"601","IFNA2","9_21379569","NA",-0.126791198390695,0.466012473365531,1.10155952408128
"602","IFT74","9_26955931","NA",0.315724444845737,0.094220122716663,3.40782097873465
"603","IFT80","3_160112782","NA",0.340044749122889,0.218449216011148,2.1946301667608
"604","IGF2BP3","7_23507910","NA",0.172087951335869,0.796831324160231,0.327653732719371
"605","IKBIP","12_99035902","NA",0.112083636167219,0.603449156616791,0.72869587251822
"606","IKZF2","2_214011340","NA",-1.3020001982769,0.142994999931008,2.80596339334422
"607","IL12A","3_159704236","NA",0.538889002456398,0.319599207000144,1.64566426627848
"608","IL12A-AS1","3_159941781","UP",1.97537110436623,0.0778461844284417,3.68322986133833
"609","IL15RA","10_6014419","UP",0.359508604064985,0.372981644970903,1.42282346001281
"610","IL1A","2_113539306","DOWN",-0.0497502549649365,0.911029031485209,0.13443106620319
"611","IL1A","2_113539306","DOWN",-0.0497502549649365,0.911029031485209,0.13443106620319
"612","IL1B","2_113592713","NA",0.0327357249934783,0.949476375233923,0.074795991044329
"613","IL37","2_113666190","NA",-0.91131908358409,0.0745109970837001,3.74640282101509
"614","INMT","7_30735607","NA",-0.751413434423022,0.346995953495781,1.5270092560193
"615","INO80D","2_206947984","NA",0.000103626024213987,0.999506034230381,0.000712818034550776
"616","INSL6","9_5183614","NA",-0.00768328771846316,0.985367738181717,0.0212658575859405
"617","IPO11","5_61698932","NA",0.172824894195154,0.423371424636668,1.24000419664765
"618","IPO4","14_24656814","NA",0.319213040726308,0.109099083214564,3.19628911648303
"619","IQCD","12_113653872","NA",-0.110785706083824,0.830317223419385,0.268265470212375
"620","IRAK2","3_10203161","NA",-0.153291130207901,0.712982067187367,0.488062304200262
"621","IRF9","14_24629125","NA",-0.372630021540931,0.128523819342773,2.95989233575496
"622","ITGA6","2_173282693","UP",-0.372974794016452,0.416816922826162,1.26251424245866
"623","ITPK1","14_93579761","UP",-0.0642253536591513,0.791459799834187,0.337412020649643
"624","JADE1","4_129730071","NA",0.105735183980824,0.570384696947785,0.80999281916044
"625","JAG2","14_105630619","NA",-1.47305394904834,0.0669700937118917,3.9003392029463
"626","JAZF1","7_28214270","NA",-0.227030633100458,0.650493860943519,0.620392653360331
"627","JAZF1-AS1","7_28214270","NA",-1.09917925086326,0.172284708250055,2.53713343923773
"628","JHDM1D-AS1","7_139869640","NA",0,1,0
"629","KANSL1L","2_211030130","NA",0.694629309064839,0.00667609702256154,7.22677936337211
"630","KATNAL1","13_30879527","NA",-0.215027063595919,0.419138770475499,1.25450011747586
"631","KB-1410C5.5","8_102216109","NA",0,1,0
"632","KB-1507C5.2","8_103868858","UP",0,1,0
"633","KB-1639H6.2","8_104022187","NA",0,1,0
"634","KB-1639H6.4","8_104131911","NA",0,1,0
"635","KB-1980E6.2","8_103420648","NA",0,1,0
"636","KB-431C1.4","8_103250013","NA",0,1,0
"637","KBTBD11","8_1920333","UP",0.174363814816068,0.762902620022519,0.390429177508479
"638","KCTD12","13_77453998","NA",-0.894543618982284,0.376017541758704,1.41112812761751
"639","KDM2B","12_122016757","UP",0.0299286274782702,0.823087426734035,0.28088241586045
"640","KDM2B","12_122016757","UP",0.0299286274782702,0.823087426734035,0.28088241586045
"641","KDM2B","12_122016757","UP",0.0299286274782702,0.823087426734035,0.28088241586045
"642","KDM2B","12_122016757","UP",0.0299286274782702,0.823087426734035,0.28088241586045
"643","KDM2B","12_122016757","UP",0.0299286274782702,0.823087426734035,0.28088241586045
"644","KDM2B","12_122016757","UP",0.0299286274782702,0.823087426734035,0.28088241586045
"645","KDM7A","7_139869640","NA",-0.152469406027403,0.765275679373294,0.385948543657906
"646","KHNYN","14_24899592","NA",0.0180319953079398,0.905351781395118,0.143449623506604
"647","KHNYN","14_24894613","NA",0.0180319953079398,0.905351781395118,0.143449623506604
"648","KIAA0825","5_93953646","NA",0.168579532896854,0.620092086678264,0.689445616276692
"649","KIAA0947","5_5420703","NA",0,1,0
"650","KIAA1715","2_176865968","NA",0,1,0
"651","KIAA2013","1_11980154","NA",0.0127510720810848,0.950181770855871,0.0737245658360436
"652","KIF11","10_94332484","UP",0.144519595133687,0.598381794431807,0.740861812513581
"653","KIFC1","6_33358373","NA",-0.142857112103869,0.63560457655081,0.653798582310139
"654","KIT","4_55512085","UP",0.176228519311542,0.761978021129842,0.392178710376493
"655","KLF10","8_103664646","NA",-0.159132061483547,0.603040910844328,0.729672215697099
"656","KLHL9","9_21334864","NA",0.186903373151319,0.368686712001821,1.43953267431822
"657","KRTCAP2","1_155145634","UP",0.69148039659606,0.00459408963413544,7.76600527960903
"658","KSR1","17_25777938","UP",-0.17980331274587,0.608475694468524,0.716728459179356
"659","LAMA5","20_60871672","DOWN",-0.0990510368855277,0.876866535173699,0.189570823136289
"660","LAMA5","20_60939241","NA",-0.0990510368855277,0.876866535173699,0.189570823136289
"661","LANCL1","2_211340198","UP",0.193615447613277,0.381927042631194,1.38863102020406
"662","LARP1P1","6_26163576","NA",-1.13422636327852,0.1988767238297,2.330053659241
"663","LASP1","17_36998080","UP",-0.163068289553721,0.326074199595451,1.61672780157236
"664","LEPR","1_65885295","NA",-0.030206181616216,0.950165098622461,0.0737498801077146
"665","LEPROT","1_65885295","NA",-0.0355265549768671,0.849722176850875,0.234936876692267
"666","LGALS1","22_38070921","NA",0.00759242347790057,0.991055327531838,0.0129624940571391
"667","LGALSL","2_64676041","NA",-0.570791897391637,0.507756143860333,0.977792303619094
"668","LHX1","17_35287723","NA",0.0929274871253361,0.873945955603108,0.194384027969424
"669","LHX5","12_113909019","NA",-0.441768518545442,0.250219386690879,1.99873452281266
"670","LINC00167","11_129862357","NA",0.0709491651088103,0.855715102830121,0.224797541424377
"671","LINC00461","5_87971924","NA",-0.408342644535269,0.404992648983191,1.30403237299317
"672","LINC00461","5_87960424","NA",-0.408342644535269,0.404992648983191,1.30403237299317
"673","LINC00528","22_18254612","NA",-0.0762639363974462,0.819434027619786,0.287300291818936
"674","LINC00544","13_30506586","NA",-0.615410918168016,0.392893211016553,1.34779085587003
"675","LINC00572","13_30499928","NA",-0.163318680869566,0.360927612133798,1.47021857657693
"676","LINC00609","14_36537499","NA",-0.0218649225812646,0.942904553387451,0.0848163550832776
"677","LINC00610","11_36294527","NA",0,1,0
"678","LINC00659","20_61405091","NA",-0.339400578966019,0.486940123703198,1.03818371179386
"679","LINC00852","3_10324247","NA",0.0549815944253127,0.792422879788423,0.335657558828617
"680","LINC00899","22_46440513","UP",-0.955745387714317,0.341755674878108,1.5489628007999
"681","LINC01011","6_2987622","NA",0.412318907478386,0.162519691906301,2.62131356016557
"682","LINC01090","2_189149549","UP",0.113471108195235,0.790169509711302,0.339765916803841
"683","LL0XNC01-177E8.2","X_102508185","NA",0,1,0
"684","LL0XNC01-250H12.3","X_102751809","NA",0,1,0
"685","LRRC16B","14_24513493","NA",0,1,0
"686","LRRC4C","11_41475531","NA",-1.1246369266509,0.0366531950759311,4.76991722554147
"687","LRRC8C","1_90096958","NA",-0.322709569867062,0.199351229082904,2.32661559471217
"688","LRRC8D","1_90279894","NA",-0.141553307622628,0.397452027918449,1.33114735590099
"689","LSM2","6_31774256","NA",-0.0339139720956503,0.852723324228955,0.229850376217907
"690","LTB","6_31548352","NA",-0.152363654751575,0.775049807969926,0.367639067852463
"691","LURAP1","1_46668482","UP",-1.24731926969879,0.244434578719507,2.03247970572741
"692","LY6G6C","6_31682145","NA",-0.66553566813466,0.243205514014737,2.03975215660119
"693","LY6G6D","6_31682145","NA",-0.794778792363026,0.176301204536248,2.50388576332323
"694","LY6G6D","6_31682145","NA",-0.794778792363026,0.176301204536248,2.50388576332323
"695","LYPD1","2_133428935","UP",-0.266493144122638,0.706943928147045,0.500332303886943
"696","LYPD5","19_44322341","NA",-2.76091266900206,0.0056634059173545,7.4641143478143
"697","LYPD5","19_44327406","NA",-2.76091266900206,0.0056634059173545,7.4641143478143
"698","LYPD6","2_150184978","UP",-0.420761583371438,0.535651912429003,0.900632309403223
"699","LYPD6B","2_149894508","NA",-1.32605022743144,0.163161082937668,2.61563110711341
"700","LYRM4","6_5260324","NA",0.278483853551503,0.118438443853792,3.07779065450382
"701","LYRM9","17_26219311","NA",0.329904284375,0.246812428219707,2.01851305177971
"702","LYSMD3","5_89822079","NA",0.169681478633565,0.481261055095817,1.05510841351979
"703","MAF","16_79621450","UP",-1.0474825635393,0.101594009466168,3.29911275939393
"704","MAML3","4_141074989","NA",-0.0376971731991542,0.867572977651748,0.204942976887484
"705","MAN2A1","5_109024485","NA",0.0240841527711284,0.915554727877756,0.127281968255272
"706","MAN2B1","19_12775096","NA",0.169764963523636,0.561462070652784,0.832739529660241
"707","MAP2","2_210285850","NA",-0.391895002807681,0.588613847859343,0.764606611047733
"708","MAP4K1","19_39095888","NA",-0.0197344349908954,0.93816924904845,0.0920798813827939
"709","MAP4K2","11_64562274","UP",-0.0944794007817347,0.755570772912831,0.404361198599458
"710","MAP9","4_156297608","NA",-0.19557748667744,0.785200184717993,0.348867582689875
"711","MAST1","19_12948280","NA",-0.687725703300848,0.263842374337661,1.92225180801816
"712","MBLAC2","5_89769063","NA",0.433905667352482,0.10633195201739,3.23335291297203
"713","MCCD1","6_31488607","NA",0.0547253051653374,0.92472923193648,0.11289709999086
"714","MDC1","6_30683521","NA",-0.0256754483144368,0.867525483417747,0.205021957645544
"715","MDC1","6_30669222","NA",-0.0256754483144368,0.867525483417747,0.205021957645544
"716","MDC1-AS1","6_30669222","NA",-0.14730446748189,0.776362403362865,0.365197840044531
"717","MDH1B","2_207629540","NA",0.957221580786177,0.131108856579962,2.93116295004152
"718","MED20","6_41884344","NA",-0.165736071653783,0.278228290973664,1.84565897057789
"719","MEN1","11_64562274","UP",-0.0564428752876758,0.793041521093005,0.334531692127342
"720","METAP2","12_95866981","NA",0.1095889544741,0.582228620044168,0.780342336531203
"721","METTL21A","2_208487189","NA",0.0847454058674009,0.648973957221336,0.623767509639038
"722","METTL25","12_82751931","NA",0.0924273901579116,0.629695421378869,0.667273917575865
"723","METTL5","2_170672129","NA",-0.0205038797621624,0.898400077464338,0.154570042752798
"724","METTL7A","12_51316757","NA",-0.160565062049463,0.618323127814731,0.693567125582759
"725","METTL8","2_172290490","NA",0.489919803291555,0.0106755592067724,6.54954454674797
"726","MFN2","1_12034073","NA",0.0763105088610132,0.594512486492632,0.750220983803191
"727","MICA","6_31362933","NA",-0.223736302504506,0.237913568260197,2.07149054358035
"728","MIIP","1_12065739","NA",0.266236726651064,0.328585641645448,1.60565865531603
"729","MIR1236","6_31922578","NA",0,1,0
