"","gene_names","ID","CpG_logFC","Gene_logFC","Gene_P.value","Gene_log2_P.value"
"109","ANKRD33","12_52280807","NA",-0.636271035525182,0.100613767276666,3.31310036804588
"110","ANKRD46","8_101569346","NA",0.0454168919505142,0.84167450718317,0.248665673543941
"111","AOC1","7_150512976","NA",0.0441957000538958,0.962200812897909,0.0555900766319675
"112","AP000230.1","21_27540932","NA",0,1,0
"113","AP000783.1","11_123298708","UP",0,1,0
"114","AP001092.4","11_64402706","NA",0,1,0
"115","AP001187.1","11_64655001","NA",0,1,0
"116","AP003068.12","11_64881678","NA",0,1,0
"117","AP003068.9","11_64870012","NA",0,1,0
"118","AP1G2","14_24019414","NA",0.110353923466131,0.643134328132083,0.636807997629367
"119","APAF1","12_99035902","NA",0.0402176604165296,0.859012894578407,0.219248307173569
"120","APC","5_112042372","NA",-0.0762431820016758,0.754858143538951,0.40572254295506
"121","APOM","6_31617298","NA",0.0587060894664306,0.753280334857549,0.408741228073472
"122","APOM","6_31620282","NA",0.0587060894664306,0.753280334857549,0.408741228073472
"123","APP","21_27540932","NA",-1.69488217550114,0.13554818209731,2.88312233026786
"124","ARHGEF40","14_21531966","NA",-0.175055505467062,0.69441205492016,0.526136101853567
"125","ARL14EP","11_30341009","NA",-0.141822780428056,0.548021501670556,0.8676955963276
"126","ARL2","11_64774360","NA",-0.0369303443788986,0.902591720549587,0.14785455008041
"127","ARL4C","2_235397099","NA",-0.436649851806495,0.376741114118825,1.40835461031811
"128","ARL5C","17_37320807","NA",-0.0981722184892404,0.910340054564288,0.135522534859512
"129","ARMCX5","X_101849747","NA",-0.0781151411307381,0.674220338867043,0.568707945850569
"130","ARSG","17_66283756","NA",-0.766518057137574,0.140346658440732,2.83293338022378
"131","ARSK","5_94884302","NA",0.396485550440738,0.122300825274304,3.03149395582069
"132","ATAT1","6_30582511","NA",0.236562551559866,0.295758187617823,1.75750998694063
"133","ATF2","2_176031379","NA",0.0910934347458445,0.500600353595963,0.998268784822039
"134","ATF6B","6_32079135","NA",0.0774902121295318,0.599497389292623,0.738174623921404
"135","ATIC","2_216172445","NA",0.180583230355934,0.340428054140402,1.55457816273568
"136","ATP5G3","2_176038152","NA",0,1,0
"137","ATP6V1C1","8_104022187","NA",-0.0132046970697601,0.94112931548685,0.0875351253940096
"138","ATP6V1E1","22_18107775","NA",-0.13038746348904,0.394764759316563,1.34093488885313
"139","AURKA","20_54962085","NA",-0.00833447398523424,0.980063444950149,0.0290529489735905
"140","AURKC","19_57733025","NA",0.548341250457885,0.117100458847539,3.09418136596735
"141","AVPI1","10_99445888","NA",-0.122194911207388,0.771350634502748,0.374541276684498
"142","AVPR1B","1_206222001","NA",-0.771730558370908,0.329714872239706,1.60070913168082
"143","AZIN1","8_103868858","UP",0.0248601261609736,0.894964634451937,0.160097421123749
"144","B4GALNT4","11_355508","NA",-2.42084800956002,0.0344767431222003,4.85823269444795
"145","BAG6","6_31617298","NA",-0.0729393984189777,0.644660947094079,0.63338750575482
"146","BAG6","6_31620282","NA",-0.0729393984189777,0.644660947094079,0.63338750575482
"147","BARD1","2_215670462","NA",-0.171640414619246,0.488491475361677,1.03359470886718
"148","BCCIP","10_127511899","NA",0.0998843711255066,0.543883724025526,0.878629841761098
"149","BCL2L13","22_18107775","NA",0.218092720007278,0.0924703242537831,3.43486574221052
"150","BEX2","X_102565555","UP",-1.31147125331731,0.244709560249379,2.03085762953486
"151","BEX5","X_101403447","UP",-1.49188846890377,0.103941772346459,3.26615253067609
"152","BHLHB9","X_101969678","NA",-0.638329945904811,0.104913099279426,3.2527332731627
"153","BID","22_18254612","NA",0.0116142346983041,0.940160943398348,0.0890203462169051
"154","BLOC1S2","10_102024928","NA",-0.0179680970081568,0.920525833082517,0.119469885819424
"155","BLOC1S5","6_8057709","NA",0.00532548014312795,0.973783348598208,0.038327263719816
"156","BLOC1S5-TXNDC5","6_8057709","NA",-0.493427600814522,0.471697445622066,1.08406630660912
"157","BMP4","14_54414223","UP",-1.60393168437155,0.116749604397869,3.09851043346805
"158","BOLA1","1_149858435","DOWN",-0.0347557845366961,0.898285728111637,0.154753682255911
"159","BPHL","6_3111436","NA",0.0572935897593236,0.827165311283328,0.273752410067291
"160","BRD2","6_32937493","NA",-0.0880734033819799,0.431985074830326,1.21094662703622
"161","BRD2","6_32935690","NA",-0.0880734033819799,0.431985074830326,1.21094662703622
"162","BRD2-IT1","6_32937493","NA",0,1,0
"163","BRF1","14_105778656","NA",-0.0889328806494118,0.668821790553836,0.580306242965227
"164","BRK1","3_10152700","NA",-0.00784591302198656,0.957445557880312,0.0627376398175036
"165","BRPF1","3_9772248","NA",0.0783120637737396,0.691838160635166,0.531493502337643
"166","BTAF1","10_93683308","NA",0.242223465306941,0.234012141855864,2.09534470806674
"167","BTBD7","14_93795294","NA",0.0983091105765324,0.488399280248293,1.03386702065333
"168","BTK","X_100640013","NA",0.0130376857435097,0.941639212432912,0.0867536954916874
"169","BYSL","6_41884344","NA",0.0455468833563417,0.820492311106533,0.28543828068579
"170","C10orf2","10_102745843","NA",0,1,0
"171","C11orf58","11_16759103","NA",0.0308451554111038,0.83475387146299,0.260577215580696
"172","C11orf91","11_33721409","NA",-0.265482588156272,0.618639701072689,0.692828673838471
"173","C12orf29","12_88427740","NA",0.40401773760423,0.0807980026121404,3.62953656087163
"174","C12orf50","12_88427740","NA",0.420932024334587,0.47792736129551,1.06513673078618
"175","C14orf142","14_93673394","NA",0,1,0
"176","C14orf79","14_105449463","NA",0,1,0
"177","C14orf80","14_105935935","UP",0,1,0
"178","C17orf61-PLSCR3","17_7307124","DOWN",0,1,0
"179","C17orf74","17_7321835","NA",0,1,0
"180","C17orf75","17_30665695","NA",0.136360497544437,0.470917377442638,1.08645413400879
"181","C18orf8","18_21071226","NA",0,1,0
"182","C19orf24","19_1266236","DOWN",0,1,0
"183","C1orf173","1_75122340","UP",0,1,0
"184","C22orf26","22_46440513","UP",0,1,0
"185","C2orf43","2_21018803","NA",0,1,0
"186","C3orf38","3_88197285","NA",-0.106060243168112,0.525016498527302,0.929565335023792
"187","C3orf58","3_143689279","NA",0,1,0
"188","C3orf80","3_159941781","UP",2.36059552922739,0.0535652608397297,4.22255852980954
"189","C4orf33","4_130011978","NA",-0.348725445731232,0.105381154788647,3.24631120062391
"190","C4orf45","4_159957977","NA",-0.377691771393917,0.421957718676187,1.2448296507232
"191","C5orf49","5_7844806","NA",-0.310910438601596,0.580364677357342,0.784968379328572
"192","C5orf49","5_7851574","NA",-0.310910438601596,0.580364677357342,0.784968379328572
"193","C6orf100","6_28908866","NA",0,1,0
"194","C6orf136","6_30612762","NA",-0.0191138479517114,0.906505495820952,0.141612328343634
"195","C6orf15","6_31078578","NA",-0.012424840500131,0.965752624097781,0.0502744024014616
"196","C6orf211","6_151766799","NA",0,1,0
"197","C6orf25","6_31682145","NA",0,1,0
"198","C6orf47","6_31620282","NA",-0.229830559929995,0.138520862864174,2.85182481547963
"199","C6orf47-AS1","6_31620282","NA",-0.0212128457243139,0.838999661321521,0.25325786659397
"200","C6orf48","6_31803288","NA",0,1,0
"201","C7orf31","7_25213330","NA",-0.135230955240459,0.616156117778723,0.69863215661488
"202","C7orf76","7_96132429","NA",0,1,0
"203","C9orf85","9_74525103","NA",-0.105844887984893,0.540396771135622,0.887909040283985
"204","CA14","1_150227107","NA",-0.413842335228994,0.12197859722176,3.03530006505675
"205","CABLES1","18_20711775","UP",0.788929379934912,0.192141396502235,2.37975971646451
"206","CACNA1C-AS1","12_2799229","NA",0.544408836488901,0.308942216067826,1.69459107031136
"207","CACNB1","17_37351995","NA",-0.326027235259128,0.535338500837578,0.901476681782306
"208","CACNB2","10_18548401","DOWN",-0.277830884187843,0.430453718441696,1.21606996473103
"209","CAGE1","6_7389406","NA",0.262113679014419,0.48133718634657,1.05488020994862
"210","CAMK4","5_110558054","NA",-0.0948259402081688,0.879171734877053,0.185783090092709
"211","CARD10","22_37902960","NA",-0.308850058268417,0.667138394523502,0.583942022560017
"212","CAT","11_34459689","NA",0.682654759208813,0.0713709048052791,3.8085201273954
"213","CBLN3","14_24899592","NA",-0.239368118890659,0.645312697677429,0.631929681529783
"214","CBLN3","14_24894613","NA",-0.239368118890659,0.645312697677429,0.631929681529783
"215","CBR4","4_169925905","NA",0.0909670071853164,0.661909004476482,0.595295197815359
"216","CBX3","7_26238186","NA",0.22353017597425,0.340291314065423,1.55515776790024
"217","CBX3P4","12_2902730","UP",0.599974329553635,0.101888964339594,3.29493029416599
"218","CBX3P4","12_2902730","UP",0.599974329553635,0.101888964339594,3.29493029416599
"219","CCDC140","2_223155748","NA",-0.601403889999809,0.223786509684629,2.15980502460385
"220","CCDC150","2_197503232","NA",0.0367760541058582,0.896295016300706,0.157954420082205
"221","CCDC170","6_151814290","NA",-0.109067235337141,0.885484687328491,0.175460736195054
"222","CCDC34","11_27384971","NA",0.0692425893040127,0.843863554764789,0.24491834806117
"223","CCDC38","12_96335005","NA",0.526182534987358,0.202147838364476,2.30651731842356
"224","CCDC42B","12_113587609","NA",0,1,0
"225","CCDC59","12_82751931","NA",-0.013661467493705,0.949370343085217,0.0749571120593075
"226","CCDC60","12_119771541","NA",0.092405189018099,0.876897983868506,0.189519082009641
"227","CCER2","19_39386897","NA",0.335987364653143,0.324212648646115,1.62498771845801
"228","CCNK","14_99945358","NA",-0.133488511832559,0.395182481627514,1.33940910097411
"229","CCRN4L","4_139935712","NA",0,1,0
"230","CCT7","2_73458148","NA",0.153789849393815,0.372701581658609,1.42390715334625
"231","CD2AP","6_47444756","NA",-0.040968285415989,0.894056885337488,0.161561467524184
"232","CD68","17_7477838","NA",0.0196970498928886,0.96609995481054,0.0497556337255108
"233","CD96","3_111254873","NA",1.63814073941515,0.0125872637440718,6.31189148987074
"234","CDC37L1","9_4678225","NA",-0.0397921543086959,0.825595570641732,0.276492864230785
"235","CDC42BPG","11_64562274","UP",-0.404385790871989,0.397755562160717,1.330045989735
"236","CDCA5","11_64843541","NA",0.0558068256459681,0.84816850336499,0.237577185264532
"237","CDCA7","2_174217350","NA",-0.0081248207698934,0.982675140798654,0.025213535105527
"238","CDK11A","1_1648711","NA",-0.160939110867903,0.606243131450834,0.722031597900982
"239","CDKN2A","9_21991197","UP",0.868426149203792,0.253149191888484,1.98194021605278
"240","CDKN2B","9_21991197","UP",0.161197449426988,0.818169797839277,0.289527812747828
"241","CDKN2B-AS1","9_21991197","UP",0.561430625236882,0.360520821547264,1.47184551149471
"242","CDS1","4_85497604","NA",-1.44639637991145,0.0971484086531768,3.36366582594531
"243","CDSN","6_31082600","NA",0.116340659144665,0.746075023895726,0.422607382422808
"244","CEP290","12_88527948","NA",0.295188012609048,0.233138203168142,2.10074266397173
"245","CEP44","4_175202395","NA",0.166410851365543,0.414606051200747,1.27018692206377
"246","CEP55","10_95256114","NA",-0.150454545787708,0.686900596897627,0.541826756744763
"247","CEP68","2_65280850","NA",0.10605648941578,0.557073447515824,0.844060542221125
"248","CERCAM","9_131169797","UP",1.10676639138055,0.01525793800835,6.0342961834431
"249","CETN3","5_89698938","NA",0.326011491357855,0.203168086117472,2.2992542952184
"250","CETP","16_56995565","NA",-0.823103520476909,0.191018718928188,2.38821407242943
"251","CGGBP1","3_88197285","NA",-0.0786241610035221,0.668421530195917,0.581169890802116
"252","CGGBP1","3_88107822","NA",-0.0786241610035221,0.668421530195917,0.581169890802116
"253","CHCHD5","2_113334730","NA",0.108333392528449,0.593378210833849,0.75297614363221
"254","CHD1","5_98258843","NA",0.198885878289163,0.431413347078267,1.21285728355878
"255","CHGA","14_93388769","NA",-0.151263689390643,0.738188413938294,0.437939000605033
"256","CHMP2B","3_87272573","NA",-0.149456917128108,0.513742491019375,0.960882692707699
"257","CHMP4A","14_24677636","NA",0.0953554210041574,0.482552594015004,1.05124190278746
"258","CHMP7","8_23090496","NA",-0.198152216100143,0.214371433432888,2.22181542598787
"259","CHN1","2_175866984","NA",-0.236789644851839,0.480071440173932,1.0586789833962
"260","CHST13","3_126241509","NA",-1.20356498438883,0.128678915826379,2.95815240904127
"261","CIDEC","3_9916335","NA",-0.317276349733693,0.614324009488362,0.702928325954886
"262","CIDECP","3_10066305","NA",0,1,0
"263","CIRBP","19_1266236","DOWN",0.234550244321869,0.240985494298251,2.05298178633174
"264","CIRBP-AS1","19_1266236","DOWN",0.0988836680598688,0.713578052466888,0.486856851944327
"265","CKS1B","1_154937471","NA",-0.14272537756362,0.572296598882514,0.805165061807767
"266","CLK2","1_155246372","NA",0.0357383846686439,0.835585275821286,0.259141024558421
"267","CLRN3","10_129691009","NA",-0.00906885884545616,0.985704093153543,0.0207734781131801
"268","CNDP2","18_72162045","NA",-0.024411420963065,0.90016275385574,0.151742223497931
"269","CNPPD1","2_220040597","NA",0.0599912617950169,0.7575010581402,0.400680191024476
"270","COL25A1","4_110217626","UP",-0.737720084549133,0.302142913565968,1.72669698929898
"271","COL25A1","4_110217626","UP",-0.737720084549133,0.302142913565968,1.72669698929898
"272","COL25A1","4_110217626","UP",-0.737720084549133,0.302142913565968,1.72669698929898
"273","COL9A3","20_61447559","NA",0.620448910914412,0.340873673677761,1.5526909131894
"274","COMMD9","11_36302345","NA",-0.242094504859725,0.218499765211251,2.19429636540747
"275","COX7C","5_85910328","NA",0.148749008199817,0.474847252543347,1.07446458868185
"276","CPNE9","3_9744800","NA",0.321040680354932,0.380545267694182,1.39386001542021
"277","CPS1","2_211340198","UP",-0.811126832476745,0.333720007603702,1.58328991149763
"278","CRADD","12_94068772","NA",-0.0509329086805059,0.863275814612535,0.212106524127094
"279","CREB1","2_208392966","NA",0.046711524500191,0.778803083915599,0.360669498013371
"280","CRELD1","3_9973721","NA",0.0941124031630141,0.750383411694768,0.414300159531697
"281","CRIP1","14_105935935","UP",-0.277634804610266,0.629649197041935,0.667379826031289
"282","CRIP2","14_105935935","UP",0.110698374374281,0.895729274210304,0.158865337796526
"283","CRYGA","2_209026471","NA",-0.143964094154355,0.497723234030317,1.00658436039815
"284","CRYGB","2_209009637","NA",-0.14921893887438,0.37227031202456,1.42557752678479
"285","CSNK2B","6_31629077","NA",-0.0352723968608597,0.770076604097818,0.376926128488924
"286","CSNK2B-LY6G5B","6_31629077","NA",0,1,0
"287","CSTF1","20_54962085","NA",0.00292147180064806,0.985999829037122,0.0203406984335842
"288","CSTF2T","10_53455343","NA",0.0579640671013664,0.708334891079883,0.497496486740345
"289","CTC-246B18.10","19_39826841","NA",0,1,0
"290","CTC-303L1.2","5_93953646","NA",0,1,0
"291","CTC-444N24.13","19_57860073","NA",0,1,0
"292","CTC-444N24.6","19_57786719","NA",0,1,0
"293","CTC-459M5.1","5_111507498","NA",0,1,0
"294","CTC-459M5.2","5_111525588","NA",0,1,0
"295","CTC-467M3.1","5_87971924","NA",0,1,0
"296","CTC-471J1.8","19_52672503","NA",0,1,0
"297","CTC-487M23.8","5_112196833","NA",0,1,0
"298","CTC-512J12.4","19_44947526","NA",0,1,0
"299","CTC-512J12.6","19_44905427","NA",0,1,0
"300","CTC-551A13.2","5_110424844","NA",0,1,0
"301","CTC-756D1.2","8_23312289","NA",0,1,0
"302","CTD-2007H13.3","5_98258843","NA",0,1,0
"303","CTD-2140B24.4","12_133706248","NA",0,1,0
"304","CTD-2192J16.24","19_12775096","NA",0,1,0
"305","CTD-2228K2.5","5_457328","UP",0,1,0
"306","CTD-2228K2.5","5_457328","UP",0,1,0
"307","CTD-2228K2.7","5_457328","UP",0,1,0
"308","CTD-2228K2.7","5_457328","UP",0,1,0
"309","CTD-2297D10.2","5_5138726","UP",0,1,0
"310","CTD-2368P22.1","19_58513303","NA",0,1,0
"311","CTD-2525I3.2","19_52672503","NA",0,1,0
"312","CTD-2525I3.5","19_52794130","NA",0,1,0
"313","CTD-2528L19.4","19_38209942","NA",0,1,0
"314","CTD-2583A14.1","19_58453519","NA",0,1,0
"315","CTD-2583A14.11","19_58356761","NA",0,1,0
"316","CTD-2583A14.8","19_58356761","NA",0,1,0
"317","CTD-2583A14.9","19_58418564","NA",0,1,0
"318","CTD-2619J13.3","19_58871700","NA",0,1,0
"319","CTD-2619J13.8","19_58871700","NA",0,1,0
"320","CTD-3018O17.3","19_52900677","NA",0,1,0
"321","CTD-3064H18.1","19_37996982","UP",0,1,0
"322","CTD-3138B18.4","19_58739178","NA",0,1,0
"323","CTD-3162L10.3","19_36862560","NA",0,1,0
"324","CTD-3162L10.4","19_36862560","NA",0,1,0
"325","CTSE","1_206314485","NA",-0.893103211072047,0.304383607389933,1.71603743044164
"326","CWC25","17_36977837","NA",0.114404761532502,0.494372119454983,1.01633071139067
"327","CWF19L1","10_102024928","NA",-0.0979105866211825,0.35327076463338,1.50115373276219
"328","CYB5A","18_71951773","UP",0.376138830548696,0.0875655469225431,3.51349284347679
"329","CYB5RL","1_54660143","NA",0.23105864944059,0.234590225360351,2.09178519285058
"330","CYFIP1","15_22889714","NA",-0.335909292578991,0.268662994319618,1.89613047687916
"331","CYP46A1","14_100146654","NA",-0.142816380095119,0.890001953717809,0.168119591824168
"332","CYYR1","21_27943808","UP",-3.07487446499323,0.0793185013384475,3.6561987705541
"333","DCAF11","14_24583394","NA",-0.0942788924551925,0.471481346295351,1.08472740169547
"334","DCAF13","8_104422579","NA",0.205069468469093,0.287499990602903,1.79836618598564
"335","DCAF17","2_172290490","NA",0.109264163353122,0.5540169387039,0.851998008485583
"336","DCP2","5_112308383","NA",0.116280985185274,0.659187706569035,0.601238757459172
"337","DDAH2","6_31682145","NA",-0.171417685223852,0.551846927884635,0.857659949273165
"338","DDR1","6_30843270","NA",-0.50564588021929,0.525472492733252,0.928312850463953
"339","DDR1","6_30864617","UP",-0.50564588021929,0.525472492733252,0.928312850463953
"340","DDR1-AS1","6_30843270","NA",0,1,0
"341","DDX39B","6_31497462","NA",0.0116407735378985,0.939742857351529,0.0896620499850601
"342","DDX39B","6_31509720","NA",0.0116407735378985,0.939742857351529,0.0896620499850601
"343","DDX39B-AS1","6_31509720","NA",-0.505473583430353,0.220825351429308,2.17902228743687
"344","DDX46","5_134093734","NA",0.170107099309556,0.333237620879805,1.58537681185228
"345","DDX54","12_113608378","NA",0.0263685867149119,0.881225917794812,0.182416168023579
"346","DEGS2","14_100621624","NA",0.296610756749434,0.509374339937068,0.973201810143667
"347","DEPDC4","12_100657407","NA",0.260236759167192,0.341091721586389,1.55176835421689
"348","DFNB59","2_179314763","NA",0,1,0
"349","DGUOK","2_74152686","NA",-0.0688935639248882,0.542052654412699,0.883495094654305
"350","DHFRP2","6_31318713","NA",-0.16559088577942,0.652673603359955,0.615566402562244
"351","DHPS","19_12775096","NA",0.205681214968195,0.19522785016919,2.35676922008616
"352","DHPS","19_12792105","NA",0.205681214968195,0.19522785016919,2.35676922008616
"353","DHRS1","14_24765344","NA",0.242232791974381,0.134867940547831,2.89038064882137
"354","DHX16","6_30635595","NA",-0.0999844121932529,0.442610614000861,1.17589004686005
"355","DHX37","12_125459769","NA",0.148229761156839,0.455754584965055,1.13367092480381
"356","DIMT1","5_61698932","NA",0.164412052034493,0.396521275549939,1.33452981834797
"357","DLX1","2_172946170","NA",0.628270349684157,0.309359480884583,1.69264384624186
"358","DLX2","2_172966044","NA",0.927106830009272,0.116063031698247,3.10701957555776
"359","DLX5","7_96653663","UP",-0.66164489619123,0.221468363273174,2.17482747018714
"360","DLX6","7_96632605","NA",-0.0338806806457095,0.952521241497513,0.0701768294085168
"361","DLX6-AS1","7_96632605","NA",0.594446830327549,0.352372341979316,1.50482740461092
"362","DLX6-AS2","7_96632605","NA",0,1,0
"363","DNAH10","12_124242600","UP",-0.359084534211545,0.427015218920591,1.22764060614231
"364","DNAJB2","2_220133863","NA",-0.283339029965551,0.362340938336871,1.46458027999048
"365","DNAJC10","2_183579717","NA",0.231019063377858,0.23134717532235,2.11186861073806
"366","DPCR1","6_30905631","NA",0,1,0
"367","DPF1","19_38709198","NA",-0.349054950613185,0.437372161505846,1.19306669831387
"368","DPH1","17_1930547","NA",0.213371850230192,0.360984246227021,1.46999221729314
"369","DPM3","1_155110904","NA",0.0304999074508094,0.915295808973949,0.127690020156271
"370","DTX1","12_113494038","NA",-0.414469296827524,0.602000665423086,0.732163013214584
"371","DUSP19","2_183942459","NA",-0.384917561698647,0.406149551152417,1.29991704486992
"372","DYNC1I2","2_172543827","NA",0.0311192406989944,0.839314579515234,0.252716453179683
"373","DYSF","2_71677277","NA",0.509687598759052,0.34116418660848,1.55146188584587
"374","ECHS1","10_135181737","UP",0.13743603709385,0.568309177353657,0.815252081916375
"375","EDDM3A","14_21212038","NA",0.208694344407813,0.794623904885914,0.331655899823284
"376","EEF1A1P33","12_97295313","UP",0.396686227694751,0.252469153431774,1.98582096409036
"377","EEF1A1P33","12_97295313","UP",0.396686227694751,0.252469153431774,1.98582096409036
"378","EEF1B2","2_207023009","NA",0.477268051363662,0.0289607548104949,5.1097569855868
"379","EEF1E1","6_8096868","NA",0.271521205627701,0.287927574939141,1.79622213188768
"380","EEF1E1-BLOC1S5","6_8096868","NA",0.551805713775082,0.0364772940653193,4.77685747735916
"381","EFNA3","1_155036065","NA",0.273680729109576,0.396179232287297,1.33577483874225
"382","EFNA4","1_155036065","NA",-0.258469508380022,0.418860804411669,1.25545720692685
"383","EGFL8","6_32097279","UP",0.14616904620021,0.631587245307229,0.66294605813793
