"","gene_names","ID","CpG_logFC","Gene_logFC","AveExpr","P.Value"
"121","HOXB3","17_46660464",-0.501061802175655,3.44938415936346,4.37416732560866,0.00123290853043832
"122","HOXB3","17_46653916",-0.530051589783498,3.44938415936346,4.37416732560866,0.00123290853043832
"123","HOXB3","17_46653916",-0.550313441526463,3.44938415936346,4.37416732560866,0.00123290853043832
"124","HOXB3","17_46660464",-0.476421103158737,3.44938415936346,4.37416732560866,0.00123290853043832
"125","HOXB3","17_46660464",-0.330447820859258,3.44938415936346,4.37416732560866,0.00123290853043832
"126","HOXB3","17_46653916",-0.301344649967414,3.44938415936346,4.37416732560866,0.00123290853043832
"127","HOXB3","17_46653916",-0.304980723317395,3.44938415936346,4.37416732560866,0.00123290853043832
"128","HOXB3","17_46653916",-0.353737304015609,3.44938415936346,4.37416732560866,0.00123290853043832
"129","HOXB3","17_46653916",-0.58979658169418,3.44938415936346,4.37416732560866,0.00123290853043832
"130","HOXB3","17_46653916",-0.388742664020426,3.44938415936346,4.37416732560866,0.00123290853043832
"131","HOXB4","17_46653916",-0.58979658169418,2.45652645543657,2.68490290505461,0.0277154979440603
"132","HOXB4","17_46653916",-0.530051589783498,2.45652645543657,2.68490290505461,0.0277154979440603
"133","HOXB4","17_46653916",-0.550313441526463,2.45652645543657,2.68490290505461,0.0277154979440603
"134","HOXB4","17_46653916",-0.388742664020426,2.45652645543657,2.68490290505461,0.0277154979440603
"135","HOXB4","17_46653916",-0.301344649967414,2.45652645543657,2.68490290505461,0.0277154979440603
"136","HOXB4","17_46653916",-0.304980723317395,2.45652645543657,2.68490290505461,0.0277154979440603
"137","HOXB4","17_46653916",-0.353737304015609,2.45652645543657,2.68490290505461,0.0277154979440603
"138","HOXB5","17_46670497",-0.525779297822443,4.24402788242932,-0.278650038986902,0.000895186393325462
"139","HOXB5","17_46670497",-0.502660000119465,4.24402788242932,-0.278650038986902,0.000895186393325462
"140","HOXB5","17_46670497",-0.432856843862632,4.24402788242932,-0.278650038986902,0.000895186393325462
"141","HOXB5","17_46670497",-0.426538049559375,4.24402788242932,-0.278650038986902,0.000895186393325462
"142","HOXB5","17_46670497",-0.411693897954678,4.24402788242932,-0.278650038986902,0.000895186393325462
"143","HOXB5","17_46670497",-0.394683218146271,4.24402788242932,-0.278650038986902,0.000895186393325462
"144","HOXB5","17_46670497",-0.40752246995273,4.24402788242932,-0.278650038986902,0.000895186393325462
"145","HOXB6","17_46670497",-0.525779297822443,4.29757967084612,-0.217745418367701,0.00151825941691639
"146","HOXB6","17_46670497",-0.502660000119465,4.29757967084612,-0.217745418367701,0.00151825941691639
"147","HOXB6","17_46670497",-0.432856843862632,4.29757967084612,-0.217745418367701,0.00151825941691639
"148","HOXB6","17_46670497",-0.426538049559375,4.29757967084612,-0.217745418367701,0.00151825941691639
"149","HOXB6","17_46670497",-0.411693897954678,4.29757967084612,-0.217745418367701,0.00151825941691639
"150","HOXB6","17_46670497",-0.394683218146271,4.29757967084612,-0.217745418367701,0.00151825941691639
"151","HOXB6","17_46670497",-0.40752246995273,4.29757967084612,-0.217745418367701,0.00151825941691639
"152","IFITM1","11_312307",0.306655343926649,-2.78531980244246,4.10127253499896,0.00150870586889923
"153","IFITM1","11_312307",0.37320798827416,-2.78531980244246,4.10127253499896,0.00150870586889923
"154","IL17RE","3_9925635",-0.341746708191134,-2.27599942468954,2.54833841767068,0.0483896812739815
"155","IL1B","2_113592713",NA,-1.91558353341919,5.31871320716059,0.00548119703112259
"156","IRX5","16_54961772",NA,2.4372107463471,-2.21573568391613,0.0181194078703942
"157","ITGA6","2_173282693",0.3430315184635,-2.145034928588,6.59185274227375,0.00052586740934903
"158","ITGA6","2_173322334",NA,-2.145034928588,6.59185274227375,0.00052586740934903
"159","ITGA9","3_37491380",0.322672663337804,-4.13250574878997,5.49043188377022,0.00438693964666346
"160","KCNC3","19_50835874",NA,2.36410216175462,1.11597357808109,0.00454575304538986
"161","KCNK17","6_39267148",NA,-4.21255722055528,2.50057824698307,0.0471224956437789
"162","KCNN2","5_113694311",-0.359791175188555,2.188934406516,-4.42668247932117,0.0422160742446964
"163","KIF28P","1_246938844",NA,-2.50598882672442,3.053871514546,0.000264860784536074
"164","KLK1","19_51319574",NA,2.1997376384809,-1.56240937749779,0.00743221145991444
"165","KLRC4","12_10560199",NA,-2.32045114484864,-0.741814424492239,0.0172310677549152
"166","KLRC4-KLRK1","12_10560199",NA,-1.89810588664002,-0.912675174597852,0.0230102877963165
"167","LGALS1","22_38070921",NA,2.01940350914556,6.40256775330227,0.000910269514394456
"168","LGMN","14_93214374",-0.338977647329935,-1.66292107853803,2.29398359748564,0.0255406263130626
"169","LGMN","14_93214374",-0.420443856552482,-1.66292107853803,2.29398359748564,0.0255406263130626
"170","LILRA6","19_54738657",NA,2.15112763589036,2.83315172673395,0.00500317327276928
"171","LINC00482","17_79281598",NA,5.238656258266,-0.0323226421710739,2.1048852383024e-10
"172","LINC00899","22_46440513",-0.472309401809596,2.48292298685204,2.94116617826349,0.00179640628382458
"173","LINC00899","22_46440513",-0.412180055094869,2.48292298685204,2.94116617826349,0.00179640628382458
"174","LRRC10","12_70001847",NA,-1.79019150507524,-4.25591476989754,2.56309714734729e-05
"175","LYZ","12_69736454",-0.346379880060464,2.18394136423273,10.2579262744037,0.00600776497972732
"176","LYZ","12_69736454",-0.326921747377429,2.18394136423273,10.2579262744037,0.00600776497972732
"177","MAB21L1","13_36048095",-0.425367684850425,-2.1878453450878,-2.76664645493472,0.0261955108206199
"178","MARCKS","6_114177393",NA,1.73245856681351,3.87825457613305,0.00733833141689538
"179","MARVELD2","5_68697163",-0.329446955363403,1.96007553348797,-0.0806020844065275,0.00364274643272052
"180","MARVELD2","5_68697163",-0.372958799268117,1.96007553348797,-0.0806020844065275,0.00364274643272052
"181","MARVELD2","5_68697163",-0.368843870821853,1.96007553348797,-0.0806020844065275,0.00364274643272052
"182","MARVELD2","5_68697163",-0.324991193465766,1.96007553348797,-0.0806020844065275,0.00364274643272052
"183","MARVELD2","5_68697163",-0.366695222233458,1.96007553348797,-0.0806020844065275,0.00364274643272052
"184","MEG8","14_101362911",NA,-1.87132156027531,-3.78947840534719,0.0162951559717808
"185","MEIS1","2_66655565",NA,2.92181524331169,4.48215842710817,0.0180167006553571
"186","MEIS1","2_66666185",-0.361124303393005,2.92181524331169,4.48215842710817,0.0180167006553571
"187","MEIS1","2_66666185",-0.380805803762343,2.92181524331169,4.48215842710817,0.0180167006553571
"188","MEIS1","2_66666185",-0.411089879022692,2.92181524331169,4.48215842710817,0.0180167006553571
"189","MEIS1","2_66666185",-0.312890780745858,2.92181524331169,4.48215842710817,0.0180167006553571
"190","MEIS1-AS2","2_66666185",-0.361124303393005,2.7206550200736,-1.41025170052161,0.0113069705334943
"191","MEIS1-AS2","2_66666185",-0.380805803762343,2.7206550200736,-1.41025170052161,0.0113069705334943
"192","MEIS1-AS2","2_66666185",-0.411089879022692,2.7206550200736,-1.41025170052161,0.0113069705334943
"193","MEIS1-AS2","2_66666185",-0.312890780745858,2.7206550200736,-1.41025170052161,0.0113069705334943
"194","MIR151B","14_100569793",NA,-2.43097149218635,-2.14028997831845,0.0020315923017707
"195","MIR342","14_100569793",NA,-1.86389878127571,-2.79721185648268,0.00196121475988708
"196","MIR3671","1_65521436",NA,-1.6945922934915,0.0327659240784285,0.00515185790405381
"197","MMP19","12_56236275",-0.300125952826618,2.96879782541943,2.06505973841684,2.75866015214635e-05
"198","MMP7","11_102401063",NA,2.85269199794964,-1.64255976428766,0.0143976180978826
"199","MMP8","11_102593319",NA,2.63090444766342,1.23929805122182,0.0258031206119779
"200","MMRN1","4_90792273",NA,-2.75073282528511,5.07278743057097,0.0280590435868872
"201","MS4A4E","11_60009789",NA,1.91634337588097,4.24107212077579,0.00938542108266689
"202","MS4A6A","11_59951490",-0.339822773374981,1.91132604028733,5.82595440779752,0.035498013567472
"203","NFIL3","9_94169416",-0.317806855934605,1.5141126931295,4.98725383218081,0.00314619691138607
"204","NTRK1","1_156778196",NA,-2.96650343945632,1.57269082769256,0.0166771772732392
"205","NTRK1","1_156828053",NA,-2.96650343945632,1.57269082769256,0.0166771772732392
"206","ONECUT2","18_55102222",-0.331683645533342,4.9031284180497,-2.0260555701677,2.55681111562286e-09
"207","PCDHB12","5_140587275",-0.344054122150108,-2.10609437768101,-3.28811697330348,0.00342455985637464
"208","PCDHB6","5_140526352",NA,-1.587366108046,-4.65319723434334,0.000705465992082746
"209","PCDHB7","5_140546581",NA,-2.10734817129095,-4.29164538841055,1.44932399078061e-07
"210","PCDHGA11","5_140792101",NA,-1.9840530527088,1.26760176524737,0.0136155001242304
"211","PCDHGA12","5_140809090",NA,-1.95766126597759,0.650109460556371,0.0110594238286593
"212","PCDHGA3","5_140722400",NA,-2.14617099026179,-2.72259541713435,0.0228129404573224
"213","PCDHGB7","5_140792101",NA,-2.36596847188043,0.932151426475318,0.00775236659399124
"214","PDE6H","12_15124372",NA,1.57825589282218,-2.04017052627352,0.0116670694609437
"215","PENK","8_57355821",-0.33714576797558,3.10122180410367,-4.04748151091512,0.000145003093368168
"216","PIK3C2B","1_204462957",NA,-1.7312372628176,5.55608684188513,0.00190644489048302
"217","PKIB","6_122787051",NA,1.81648845029232,0.29814194230573,0.0120676469770628
"218","PLEKHN1","1_903641",NA,1.79131341690691,-0.586461955727766,0.0055791738798638
"219","PLSCR2","3_146210673",NA,-1.85900685265807,-2.14818349989399,0.0111533572247385
"220","PPARG","3_12328489",NA,4.24386418991654,-0.0553600602042345,1.67790545707856e-06
"221","PRKCH","14_61649042",NA,-1.68113793117565,5.43872161259603,0.00930939351728141
"222","PRKCH","14_61738065",NA,-1.68113793117565,5.43872161259603,0.00930939351728141
"223","PROX1","1_214155807",-0.325781661066352,1.8120079848314,-4.24665927875092,0.00280214229337169
"224","PRR16","5_119798815",NA,3.32545051973389,-1.71351755883387,0.00116740610453789
"225","PRR5L","11_36317214",NA,-2.02271893155338,4.7934552895112,0.0116931141315917
"226","PTH2R","2_209222656",0.43189834051266,-2.32454675438569,2.90828181631811,0.0251299355811568
"227","PTH2R","2_209222656",0.464086894846105,-2.32454675438569,2.90828181631811,0.0251299355811568
"228","PTK6","20_62168042",NA,1.50755527047821,2.02711511936724,0.000716713812285441
"229","QSOX1","1_180119332",-0.368153878198583,1.8249815022219,7.10937938070485,1.27388442509401e-07
"230","RBM20","10_112395637",-0.435684477332107,-2.88570085062548,-1.76546957446085,0.000854382529575004
"231","RNU6-1152P","17_46271301",NA,-1.65642945275477,-2.96296457619437,0.0329525072796246
"232","RNU6-181P","15_101088150",NA,-1.50774908379681,-1.84077908271678,0.0131896024983986
"233","RNU6-242P","2_43309493",NA,-2.53111998517203,-2.64815960508337,9.29274435611052e-06
"234","RNU6-884P","1_150989821",NA,-1.52020898795465,-4.17210724244666,8.4603670338415e-05
"235","RNU7-73P","3_37596250",NA,-1.53240567289928,-4.64908074184511,0.00014887373067557
"236","RUVBL1-AS1","3_127790589",NA,-1.54621069293408,-1.21313816975256,0.000837859482784143
"237","S1PR2","19_10319223",NA,-1.58776094786718,1.06109483833117,0.000858350679382164
"238","SALL2","14_21982726",NA,-2.0466329564446,0.145000710635602,0.0485178142506782
"239","SATB2","2_200335376",NA,3.5274252375258,0.619334503872229,4.12556108608328e-08
"240","SCG2","2_224466907",NA,1.96746000612863,-2.54132169673621,0.0215406821248791
"241","SKAP1","17_46229768",NA,-1.73420318502335,2.85797703984227,0.0232863509850388
"242","SKAP1","17_46505978",NA,-1.73420318502335,2.85797703984227,0.0232863509850388
"243","SLC10A2","13_103717950",-0.307155938898092,6.02811934610128,-4.37633216448571,8.29574829325184e-10
"244","SLC16A3","17_80163951",-0.309121977168271,1.57114156872483,5.97903568766524,0.000133706158491799
"245","SLC22A15","1_116513092",NA,2.88169681968486,3.94005075564071,0.00129891882777669
"246","SLC2A14","12_8016863",NA,1.61883836702336,0.95735250236291,0.00560027784884216
"247","SLC38A1","12_46660473",0.419013015643024,-2.34609200366086,7.64231997904311,0.0136832289786844
"248","SLC4A10","2_162278434",NA,-1.83426929894698,-0.896642925818297,0.0387027656388333
"249","SLCO5A1","8_70739602",0.311977152601387,-4.6377512585502,1.82599498908311,0.0234489716197663
"250","SNORD127","14_45578653",-0.418779652434876,-1.67424008635372,-2.74507747282183,0.00595132640632707
"251","SNX24","5_122176504",NA,2.03810490591619,1.37139351178698,6.57678494059967e-05
"252","SOCS2-AS1","12_93956470",NA,-2.88845406797512,2.34741230800696,0.0338639896494629
"253","SOCS2-AS1","12_93963636",NA,-2.88845406797512,2.34741230800696,0.0338639896494629
"254","SPACA6P-AS","19_52188083",NA,-2.79447018291307,-3.16845591400441,1.78733374036945e-07
"255","SPTBN1","2_54888688",NA,-1.59912142363002,7.89836725601554,0.00124992066504888
"256","ST3GAL6-AS1","3_98447570",NA,-2.81633860760191,-1.31031774426677,0.0038459949083172
"257","STYK1","12_10824901",NA,-3.16374308842616,1.43874246552335,0.00319420091621139
"258","SV2A","1_149878034",NA,-2.3354205826127,5.1907495746379,0.00246686616817352
"259","SYN2","3_12197745",NA,2.27157496070393,-0.910457459003756,0.00190732076225074
"260","TBX20","7_35283128",-0.329618913003162,2.19693891775296,-4.88813289799069,0.0143637637070214
"261","TIMP4","3_12197745",NA,1.69561211186112,-1.3954511695562,0.0472524185868866
"262","TMEM130","7_98466008",NA,-1.60952216716818,-1.53332837259725,0.0426124917569388
"263","TMEM217","6_37224383",-0.382942692183259,-1.61793578872096,2.3335928427418,0.0415876962149748
"264","TREM1","6_41254271",-0.335580473034587,1.65750435825395,4.41296677860411,0.0103892125964256
"265","TRH","3_129692784",NA,-6.49908327355215,2.6459884189465,0.0386087910537946
"266","TRIB2","2_12855737",NA,-1.67218726733132,3.30001712787138,0.0313431539637792
"267","TTC24","1_156548152",NA,-2.35898650474315,3.92392192900626,0.00293997602265434
"268","TTLL10","1_1109733",NA,-2.95663168909854,-0.579729131308276,0.0325859779918074
"269","TTLL10-AS1","1_1109733",NA,-2.55612917146554,-1.72218552370004,0.0330877645526096
"270","UMODL1","21_43527497",NA,-5.96232896039855,3.00295557741394,0.00288155070141953
"271","VN1R1","19_57963294",NA,-1.73104771707804,2.28258821070041,0.00104106702834476
"272","ZDHHC15","X_74740530",NA,-2.18885584912905,0.756918431661604,0.0143300095505028
"273","ZFP82","19_36907038",NA,-1.53804024254927,3.42949273896448,0.000249499806930014
"274","ZIC5","13_100615888",-0.424507244571417,-1.54638358805071,-4.43996706547488,4.57331640042356e-06
"275","ZIK1","19_58084089",NA,-1.70920600913043,3.32212211119343,0.000244333683945039
"276","ZNF154","19_58214985",0.337604341452072,-2.28131010296045,4.93178963174803,0.000782073924269791
"277","ZNF154","19_58214985",0.344460412188476,-2.28131010296045,4.93178963174803,0.000782073924269791
"278","ZNF471","19_57018797",NA,-1.63659688894648,3.1776773751208,0.00944800726170116
"279","ZNF540","19_38076198",NA,-1.64318926480461,1.21585781428105,0.00241743324533318
"280","ZNF550","19_58070618",NA,-1.53153037047058,4.87410644498837,5.7981117924402e-06
"281","ZNF571","19_38076198",NA,-1.63549897164326,3.4615920635107,0.00146095261296371
"282","ZNF695","1_247161253",0.396444956529871,-2.19157588679542,0.606179365987361,0.00489832518390799
"283","ZNF772","19_57988589",NA,-1.755678150086,4.38431321539936,7.53070977432127e-05
"284","ZNF781","19_38179545",NA,-3.13683240565448,0.807462516334055,1.7325234474706e-05
"285","ZNF793","19_37996982",NA,-2.57912898166819,3.36945558737036,0.00872638534931098
"286","ZSCAN4","19_58177681",NA,-2.28549617140913,-3.63659238066664,3.04282249918527e-05
