"","gene_names","ID","CpG_logFC","Gene_logFC","AveExpr","P.Value"
"1","ALOX12B","17_7977175",NA,-1.68883826335251,-1.53393520386149,0.0345354063828721
"2","CTDSPL","3_37889807",NA,-1.88762682084852,4.30163783907945,0.0215895465615725
"3","DSE","6_116573907",NA,-2.17405163973599,4.96910013960948,0.000638134699892391
"4","DSE","6_116596008",NA,-2.17405163973599,4.96910013960948,0.000638134699892391
"5","FAM167A","8_11330802",NA,-2.14209575938917,-0.494586976585483,0.0246217403749171
"6","HLA-DOA","6_32970533",NA,-2.62103115524075,4.5190380652697,0.0104329054454853
"7","ITGA9","3_37491380",0.322672663337804,-4.13250574878997,5.49043188377022,0.00438693964666351
"8","KIF28P","1_246938844",NA,-2.50598882672443,3.053871514546,0.000264860784536075
"9","MMRN1","4_90792273",NA,-2.75073282528511,5.07278743057097,0.0280590435868869
"10","RNU7-73P","3_37596250",NA,-1.53240567289928,-4.64908074184511,0.000148873730675571
"11","TRH","3_129692784",NA,-6.49908327355215,2.6459884189465,0.0386087910537948
"12","VN1R1","19_57963294",NA,-1.73104771707804,2.28258821070041,0.00104106702834476
"13","ZFP82","19_36907038",NA,-1.53804024254927,3.42949273896448,0.000249499806930013
"14","ZIK1","19_58084089",NA,-1.70920600913042,3.32212211119343,0.000244333683945049
"15","ZNF154","19_58214985",0.337604341452072,-2.28131010296045,4.93178963174803,0.000782073924269781
"16","ZNF154","19_58214985",0.344460412188476,-2.28131010296045,4.93178963174803,0.000782073924269781
"17","ZNF471","19_57018797",NA,-1.63659688894648,3.1776773751208,0.00944800726170122
"18","ZNF540","19_38076198",NA,-1.64318926480461,1.21585781428105,0.00241743324533318
"19","ZNF550","19_58070618",NA,-1.53153037047057,4.87410644498837,5.79811179244044e-06
"20","ZNF571","19_38076198",NA,-1.63549897164326,3.4615920635107,0.00146095261296371
"21","ZNF695","1_247161253",0.396444956529871,-2.19157588679542,0.606179365987361,0.00489832518390803
"22","ZNF772","19_57988589",NA,-1.755678150086,4.38431321539936,7.53070977432127e-05
"23","ZNF781","19_38179545",NA,-3.13683240565448,0.807462516334055,1.73252344747063e-05
"24","ZNF793","19_37996982",NA,-2.57912898166819,3.36945558737036,0.00872638534931098
"25","ZSCAN4","19_58177681",NA,-2.28549617140913,-3.63659238066664,3.04282249918526e-05
