"logFC","AveExpr","P.Value","hgnc_symbol"
1.96100452363512,6.85678948934695,0.00115446638769281,"FGR"
-3.23946037284709,0.132727930181098,0.0307935099526992,"HS3ST1"
-2.58865290555971,5.44903772419107,0.00562241781310167,"TFPI"
4.94389557205287,-2.50617525378262,2.75933641204186e-05,"HOXA11"
1.8807696910073,-0.515441076874107,0.00480366506259488,"COPZ2"
1.96247672587075,4.77875242710416,0.000706551916750853,"PRKAR2B"
-2.18996515322339,-1.5697651784751,0.0330729046914725,"YBX2"
-2.941638238528,2.54600517829176,0.0131011673840565,"TBXA2R"
1.81056932208637,-1.54575343054685,0.0367925492179299,"UPP2"
-5.5595987868341,5.56403097018008,0.0435468919596885,"PROM1"
-1.70457890235472,4.84620804818109,0.000411081196649529,"MATK"
-1.54260781914099,2.95404315638929,0.0171280661725613,"ADAM22"
2.17762553866492,8.12449131806421,0.00593538788936673,"STAB1"
1.62407024185622,6.50414045262975,0.00213159562941799,"CD4"
-1.82025566049462,5.40774073320941,0.00642575479209258,"HIVEP2"
-1.73271060677417,-3.42613239720874,0.000175781842033444,"RGPD5"
1.80595435212252,5.30306013668137,0.0193462964783056,"SLC11A1"
-1.82787436691327,6.21644593947924,0.0457526689852375,"HGF"
1.63887101447106,4.90560756100842,0.0155846888982617,"ADGRA2"
-1.97330216161799,4.35979493247165,0.0463581825975252,"GRAMD1B"
-1.68113793117565,5.43872161259603,0.00930939351728131,"PRKCH"
-2.02581251056636,-2.69659906910508,0.0490806080654521,"MUSK"
-3.84359008374279,5.09698182363301,0.00254647768968184,"IKZF2"
1.67197636484341,8.62789180150753,0.000412761441399534,"GRN"
-1.78914651274905,1.94441462503019,0.00912586942917789,"MYOM2"
-2.72798060935538,2.28754103355766,0.0428737071594088,"FLT4"
2.58032176042297,7.76403047687364,0.0160549043683665,"VCAN"
-2.07935756555207,-2.6029142394672,0.00343331016024807,"SOX30"
-2.09774560400116,3.2778532404122,0.014694549450238,"RTN4R"
2.13524963226871,5.88184100493098,0.000707892040232809,"CAPG"
-2.28955848874075,-1.70684687831107,0.000304764464703862,"USH2A"
-1.55070427090763,3.72200508506529,0.00536481793601627,"GPM6B"
-1.72954300876386,5.77144455785831,0.00233366500985426,"ARAP2"
1.50755290061538,3.69928762703242,0.0130579942415621,"COL9A2"
-1.7906270347677,4.72181478801261,4.69433623496112e-06,"LIMA1"
2.17629085404644,-0.73658334211555,0.0352933548768673,"PTGER3"
-2.21798906935329,-2.03379789954996,0.00533120874698497,"TNIP3"
-2.85215235344073,2.34379069169321,0.0179027988437948,"ATP9A"
2.11998282698541,-0.535641291415417,0.0277005402555217,"PKP2"
-2.02106998690561,-3.19198289836077,0.00709479400532371,"F7"
-3.16374308842616,1.43874246552335,0.00319420091621139,"STYK1"
2.68908059695194,-0.638420423170971,0.000633578313684825,"PTPRU"
-2.67880098851864,4.18860578495207,0.0180229154974657,"GUCY1B1"
3.4800547259094,-4.35324067782805,3.83198468628979e-07,"ARSF"
2.03810490591619,1.37139351178698,6.57678494059968e-05,"SNX24"
-1.58815363537053,3.16381272032782,0.0281548193519191,"NTN1"
-1.90413721830163,3.96583125860513,0.00604171111025817,"MYLK"
-2.02624892966845,0.288233678023157,0.00383085970026559,"COL17A1"
-2.03638080454405,4.90635325976767,0.000114000365579406,"PRKCQ"
-1.58544289036442,6.50332010421349,0.0113156870429376,"SLC9A7"
-2.17655687484479,3.907964821184,0.0185436112510267,"TIE1"
2.34698516942308,0.312663030294552,0.0395134098037571,"NAV3"
-2.61754250825509,5.97307018911911,8.38148170474685e-05,"MAST4"
-4.03816034941965,3.90861972256649,0.0279282402739424,"SDK2"
-1.63969415639856,5.58757046659031,0.000538899721767896,"NEDD4"
2.38120260689045,-1.75795209907196,0.00661101537887625,"GUCY2C"
1.92346345601178,6.71670231468297,0.000853055312093669,"SLC44A1"
2.63028096885643,3.83621603090931,0.000824285718850334,"CLTCL1"
-1.57403705647996,4.47411953680146,0.000305383615634393,"FSTL3"
-1.67218726733132,3.30001712787138,0.0313431539637791,"TRIB2"
-1.68288832257274,-2.38781328822728,0.0208201311192397,"MYO3B"
-1.96641770800003,4.082067238836,0.000623828619692166,"SIDT1"
-1.85645466290872,-2.36635408798501,0.00332107695445594,"MOV10L1"
1.62023163097867,-3.57121316440172,0.0481314060890882,"PPP2R2C"
2.08859998341328,2.55553780126944,0.0338078245244547,"ARHGEF10L"
2.55871469310538,-1.56761706059694,0.00152641459695949,"MOCOS"
-1.59319868460579,1.83673759873205,0.0230175364879541,"SMC1B"
-1.88726137193489,4.89220289869835,0.00579687398084917,"SYNJ2"
