"","gene_names","ID","CpG_logFC","Gene_logFC","AveExpr","P.Value"
"1","ACE2","X_15618031",-0.414127787548703,-1.51594142625754,-3.97515051778111,0.0076727175809981
"2","ADIPOQ","3_186559823",NA,2.23958193951624,-3.87129175615463,0.0448161212717971
"3","AK4","1_65610395",0.357641857845519,1.96722104242177,2.97466456807725,0.0321346721754615
"4","ALS2","2_202643601",-0.512761294722441,1.83282722940957,6.39146800066774,0.000148142428432518
"5","ANXA2","15_60686604",0.327991875298554,-1.7682810507623,7.00938399918925,0.0357819070444369
"6","ATXN1","6_16759205",NA,-1.89677279553573,5.45189075557982,0.0387858843659123
"7","BGN","X_152759100",NA,3.42952117265908,-0.095430711330663,0.00303710930568723
"8","BTLA","3_112217316",-0.382750251986167,1.75456716577531,2.55808828318268,0.0170719882181422
"9","C12orf50","12_88427740",NA,1.54090214052323,-3.66707601725927,0.0435351333559209
"10","CAMP","3_48264488",NA,2.68039099016962,-1.5428465525085,0.0104086277791116
"11","CCL18","17_34391150",NA,2.70965354781953,-3.1364219043223,0.00576128965980609
"12","CHRNB4","15_78931189",0.318661715588166,3.06365231800641,-2.85063314091224,0.0007817220580499
"13","CNKSR2","X_21388628",0.334070312820188,1.92695124484913,1.34279914193078,0.0160661510945461
"14","CNKSR2","X_21388628",0.333954262341444,1.92695124484913,1.34279914193078,0.0160661510945461
"15","COL8A1","3_99355490",NA,3.39130206997726,-2.19806906098213,3.74905754919785e-05
"16","CPA4","7_129924099",NA,1.7137442022481,-4.56779138145146,0.0483649817586816
"17","CSGALNACT1","8_19611853",NA,1.66675505687884,4.30656805295886,0.0366101813075205
"18","DDC","7_50632267",NA,-1.78544888157207,-3.53443093979946,0.000330180330334319
"19","DNM3OS","1_172113777",0.348200211366235,1.73391116141477,-0.834802389300327,0.0380690882684034
"20","ENO4","10_118604837",NA,-2.08341107836753,-3.71995667671938,0.000339715798054527
"21","F3","1_95006048",0.491476312650086,-3.45786622664535,0.0985442536390371,0.0324469279394735
"22","FBLIM1","1_16081773",NA,1.63159546368533,-0.686236675666545,0.0382325624797212
"23","FEV","2_219840370",NA,-1.80429997101654,-4.13296425237345,0.000529398889815802
"24","FOXD2","1_47901530",-0.324430036744241,-1.81807358539957,0.748778674509798,0.0364997209250376
"25","GRID1","10_88118201",NA,2.46533766111106,-2.77796852431247,0.0257632754578997
"26","GUCY2F","X_108724873",NA,-1.86884661620583,-3.43118357462799,0.0110547093009851
"27","HIF3A","19_46799585",NA,1.93265094078271,-1.38463598187953,0.024594667186206
"28","ITIH1","3_52811458",-0.400464287887938,1.53235452088825,-1.96821475724817,0.0304212195274989
"29","ITIH1","3_52821828",NA,1.53235452088825,-1.96821475724817,0.0304212195274989
"30","KIT","4_55512085",-0.414203313483164,1.51950865660778,7.57474985799029,0.0304113693861514
"31","KIT","4_55512085",-0.459121492419558,1.51950865660778,7.57474985799029,0.0304113693861514
"32","KLHL32","6_97367030",NA,-1.97592971709632,-0.449061770781832,0.00730766216540111
"33","KLK2","19_51371886",NA,-1.71518352753089,-4.02019247057986,0.00201083933799235
"34","LTF","3_46525579",NA,2.98530411547468,1.94772677075565,0.0467579160217605
"35","LYPD1","2_133428935",0.416677970472477,5.44533406465212,-4.24215528817083,1.00962252617265e-10
"36","MEIS2","15_37387188",0.325269128281922,2.67210965104365,-1.31739950815741,0.0111804307502975
"37","MEST","7_130123397",NA,1.89114840439739,5.69980008043045,0.032650465939893
"38","MEST","7_130131394",NA,1.89114840439739,5.69980008043045,0.032650465939893
"39","MIR1205","8_128969120",NA,-1.54308352675155,-2.85373966507296,0.0441541841582037
"40","MIR3671","1_65521436",NA,1.54228606198745,0.0327659240784285,0.0065742739136008
"41","MIR374A","X_73505909",NA,2.07648480629614,-4.09985009281259,0.00531367746763186
"42","MIR545","X_73505909",NA,1.75692509320181,-4.55252797652898,0.0356967982419812
"43","MKX","10_28027483",-0.326195837066813,-2.29057065015468,-2.52882241037182,0.00701250186658035
