cell_type	B cell	Macrophage M1	Macrophage M2	Monocyte	Neutrophil	NK cell	T cell CD4+ (non-regulatory)	T cell CD8+	T cell regulatory (Tregs)	Myeloid dendritic cell	uncharacterized cell
TCGA.AB.2925	0	0	1	0	0	0	0	0	0	0	0
TCGA.AB.2934	0.007	0.000	0.908	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TCGA.AB.2910	0	0	1	0	0	0	0	0	0	0	0
TCGA.AB.2929	0.040	0.000	0.056	0.000	0.017	0.027	0.185	0.000	0.034	0.048	0.594
TCGA.AB.2886	0.112	0.000	0.062	0.000	0.018	0.077	0.000	0.000	0.025	0.055	0.650
TCGA.AB.2891	0.029	0.000	0.574	0.220	0.000	0.009	0.000	0.000	0.003	0.000	0.165
TCGA.AB.2874	0.001	0.006	0.123	0.059	0.000	0.069	0.000	0.000	0.025	0.000	0.718
TCGA.AB.2952	0.048	0.000	0.248	0.125	0.000	0.032	0.000	0.004	0.026	0.000	0.517
TCGA.AB.2847	0.025	0.004	0.059	0.033	0.000	0.055	0.000	0.008	0.030	0.037	0.749
TCGA.AB.2876	0.030	0.000	0.211	0.069	0.000	0.021	0.000	0.000	0.003	0.000	0.666
TCGA.AB.2913	0.010	0.000	0.045	0.000	0.000	0.105	0.000	0.000	0.045	0.036	0.759
TCGA.AB.2862	0.038	0.000	0.084	0.000	0.007	0.074	0.000	0.000	0.020	0.000	0.778
TCGA.AB.2928	0.010	0.069	0.000	0.000	0.000	0.041	0.000	0.000	0.007	0.089	0.785
TCGA.AB.2901	0.003	0.018	0.096	0.000	0.029	0.050	0.000	0.000	0.018	0.012	0.775
TCGA.AB.2890	0.023	0.000	0.044	0.049	0.000	0.040	0.063	0.039	0.050	0.065	0.626
TCGA.AB.2875	0.067	0.000	0.078	0.000	0.000	0.048	0.000	0.000	0.030	0.058	0.719
TCGA.AB.2881	0.054	0.000	0.207	0.122	0.000	0.022	0.000	0.008	0.018	0.000	0.568
TCGA.AB.2921	0.036	0.000	0.249	0.097	0.000	0.044	0.000	0.000	0.006	0.000	0.567
TCGA.AB.2888	0.008	0.000	0.732	0.261	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TCGA.AB.2920	0.027	0.053	0.011	0.027	0.000	0.095	0.000	0.000	0.027	0.037	0.722
TCGA.AB.2937	0.035	0.000	0.136	0.000	0.000	0.024	0.000	0.000	0.015	0.104	0.686
TCGA.AB.2870	0.043	0.000	0.554	0.232	0.000	0.014	0.000	0.000	0.000	0.000	0.157
TCGA.AB.2940	0.037	0.000	0.172	0.080	0.000	0.033	0.000	0.000	0.009	0.000	0.669
TCGA.AB.2946	0.040	0.000	0.303	0.147	0.000	0.027	0.000	0.000	0.000	0.000	0.483
TCGA.AB.2897	0.012	0.008	0.006	0.035	0.023	0.077	0.000	0.000	0.022	0.000	0.817
TCGA.AB.2932	0.000	0.000	0.919	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TCGA.AB.2911	0.033	0.000	0.222	0.222	0.000	0.011	0.000	0.000	0.013	0.000	0.498
TCGA.AB.2889	0.021	0.000	0.554	0.184	0.000	0.022	0.000	0.000	0.000	0.000	0.219
TCGA.AB.2884	0.046	0.000	0.465	0.252	0.000	0.008	0.000	0.000	0.000	0.000	0.230
TCGA.AB.2883	0.019	0.000	0.652	0.194	0.000	0.027	0.000	0.000	0.000	0.000	0.107
TCGA.AB.2835	0.000	0.000	0.652	0.348	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TCGA.AB.2892	0.023	0.000	0.726	0.197	0.000	0.000	0.000	0.000	0.000	0.000	0.054
TCGA.AB.2942	0.030	0.000	0.476	0.177	0.000	0.013	0.000	0.000	0.000	0.000	0.304
TCGA.AB.2948	0.000	0.000	0.785	0.215	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TCGA.AB.2880	0.039	0.000	0.262	0.130	0.000	0.033	0.000	0.000	0.000	0.000	0.535
TCGA.AB.2873	0.000	0.000	0.718	0.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TCGA.AB.2933	0.114	0.000	0.727	0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TCGA.AB.2992	0.028	0.000	0.340	0.134	0.105	0.045	0.000	0.000	0.007	0.000	0.339
TCGA.AB.2975	0.014	0.077	0.004	0.041	0.000	0.033	0.000	0.000	0.006	0.001	0.824
TCGA.AB.2982	0.039	0.000	0.023	0.037	0.000	0.117	0.000	0.000	0.056	0.000	0.728
TCGA.AB.2983	0.045	0.000	0.476	0.177	0.000	0.100	0.000	0.000	0.033	0.000	0.168
TCGA.AB.2970	0	0	1	0	0	0	0	0	0	0	0
TCGA.AB.2966	0.028	0.000	0.106	0.035	0.000	0.038	0.005	0.000	0.026	0.009	0.754
TCGA.AB.3009	0.014	0.000	0.007	0.073	0.034	0.070	0.000	0.000	0.027	0.063	0.711
TCGA.AB.2988	0.023	0.009	0.087	0.000	0.052	0.054	0.000	0.000	0.017	0.009	0.748
TCGA.AB.2999	0.017	0.000	0.037	0.027	0.000	0.086	0.000	0.000	0.055	0.010	0.767
TCGA.AB.2986	0.017	0.009	0.046	0.000	0.025	0.024	0.000	0.000	0.002	0.023	0.855
TCGA.AB.2944	0.029	0.138	0.000	0.000	0.000	0.033	0.000	0.000	0.021	0.000	0.780
TCGA.AB.3008	0.065	0.000	0.047	0.045	0.005	0.034	0.000	0.000	0.004	0.006	0.794
TCGA.AB.2878	0.023	0.070	0.015	0.000	0.000	0.040	0.000	0.000	0.035	0.020	0.797
TCGA.AB.2977	0.023	0.000	0.453	0.207	0.000	0.040	0.000	0.000	0.004	0.000	0.274
TCGA.AB.3007	0.000	0.000	0.031	0.000	0.001	0.165	0.000	0.000	0.066	0.020	0.717
